ሀብተ፡ሰባራ	adj	having no more wealth	coined
ሀብተ፡ስንኩል	adj	wealth gotten from deception	geez
ሀብታም	adj	well off, affluent
ባለሀብት	adj	prosperous, millionaire
ሁለት	adj	two
ሁሉ	adj	each and every one, every single one
ሁከተኛ	adj	bothersome, troublesome
አዋኪ	adj	niggling, one who irritates or creates problem
ሃያ	adj	twenty
ሃያኛ	adj	twentieth
ሃይማኖተኛ	adj	pious, devout
ሃይማኖታዊ	adj	of religion, spiritual
ህንዳዊ	adj	indian
ሆምጣጣ	adj	vinegary, bitter acerbic
የማይሆን	adj	unsuitable, out of place, inapt
ሆደ፡ሰፊ	adj	apathetic, enduring, calm, composed
ቡቡ	adj	anxious
ሆድ፡ባሻ	adj	edgy, vulnerable, emotional
ክፉ	adj	depraved, immoral
ሆዳም	adj	ravenous, one who eats too much
ለሀጫም	adj	trickling
ለምለም	adj	fertile, lush
ለምላሚ	adj	viridescent, verdant
ለማኝ	adj	vagabond, tramp
ተለማኝ	adj	one who's pleaded, for or implored
ተለማማኝ	adj	beseecher, imploring
ለማዳ	adj	domesticated, disciplined
ልማደኛ	adj	usual, routine
ተለማጅ	adj	expected, normal
አልማጅ	adj	coach, teacher
ለማጣ	adj	dishonest, deceitful
ልምጥ	adj	bent, curled
ተለማጭ	adj	bendy supple
ለሚ	adj	rising, emergent
ለም	adj	lush, productive
ለምቦጫም	adj	fat-lipped
ለስላሳ	adj	silky spongy
ልስላሴ	adj	glossy silken, silky-smooth
ልስልስ	adj	sleek, silky
ልስን	adj	attached with stucco, gesso
አለቅላቂ	adj	one who washed, or dipped
ለቃሚ	adj	one who collects, congregates
ልቅም	adj	exempted from contamination, uncleanness, dirt, impurities
ለብላቢ	adj	burning
ልብልብ	adj	sweltering, seared, burned
ልባሽ	adj	used up
ልብስ	adj	worn, ragged
ልብስ	adj	tattered, ragged
ለባቃ	adj	curved, twisted, Bendable, gutless
ልብቅ	adj	bendable, supple
ተለባቂ	adj	lissome, pliant
ልብድ	adj	covered with leather, ex.
ልብጥ	adj	covered with cloth
ለዋሳ	adj	disabled
ተላወሰ	adj	moved to and fro, started moving
ተለዋዋጭ	adj	variable, unsettled
ለዘብተኛ	adj	modest, restrained, non interventionist
ልዝብ	adj	calm, tender
ለዛ፡ቢስ	adj	unappealing, distasteful
ለዛ፡የለሽ	adj	simple, repellent
ልዩ	adj	particular, extraordinary
ለየ፡ልዩ	adj	different, arrange of
ተለያየ	adj	was at variance, was at odds
የተለያየ	adj	different, varied
ላይኛ	adj	higher apex
ለጋ	adj	recently made, clean
ለጋስ	adj	kind, openhanded
ለግላጋ	adj	juvenile and muscular
ልጉም	adj	built in, with anger, bristle
አልጉም	adj	dangerous remained silent,
ልጥጥ	adj	long drawn out, extended, arrogant, conceited
ተለጣጭ	adj	expandable, flexible
ልጥፍ	adj	enlargeable
ለጥ፡ያለ	adj	stretched cushioned, filled, horizontally, obedient (passive) compliant
ለፍላፊ	adj	big mouth, loquacious, blabber mouth
ተለፋላፊ	adj	babbling, talking nineteen to the dozen
ልል	adj	slack, fastened
ልም	adj	crumbly dusty, ground
ምላሰኛ	adj	verbose, wordy, prolix
ምላሳም	adj	wordy, garrulous, long-winded
ሊቅ	adj	intellectual, educated, academic
ላባም	adj	having quill, plume
ላታም	adj	with large appendage (tail)
ላዕላይ	adj	higher, superior
ላይኛ	adj	higher, pinnacle
መላጣ	adj	hairless (on the head)
ተላጭ	adj	that can be skinned off
ሌላ	adj	a new further, added, an alternative
ሌጣ	adj	not expecting a child, bachelor, spinster
ልሙጥ	adj	simple, unornamented, unattached, bare
ልበ፡ሰፊ	adj	patient, broad-minded
ልብ፡ቅን	adj	caring, supportive, approving
