ሁለመና	adv	the whole or entire (body)
ሁሉ፡ቦታ	adv	all over the place, ubiquitously, far and wide
ሁል፡ቀን	adv	each day, day by day
ሁልጊዜ	adv	all the time, constantly, continually
ሆን፡ብሎ	adv	purposely, with intent, deliberately, knowingly
ሆኖም	adv	even so, yet, but, nonetheless, in any case
በተለይ	adv	specially, chiefly, specifically, mainly, predominantly, for the most part
ላይ፡ላዩን	adv	apparently, on the surface, outwardly, externally, on the exterior
አንድላይ	adv	as a group, collectively, all together, jointly, as one
እዚህ፡ላይ	adv	at this instant, at the moment, at this time
ከመጣን፡በላይ	adv	abnormally, over, in excess of, above, strangely
ከዚህ፡በላይ	adv	what is more, in addition, besides, above and beyond
ወደላይ	adv	ascending, upward, in the air, aloft, rising
ላመል	adv	only just, superficially, a little, scarcely, not quite, hardly, just about
ላይ	adv	on top of, over, lying on, above
ሐች	adv	in that place, thither, there, beyond, yonder, over there, afar, away from
ሐቻምና	adv	the year before last
የምር	adv	seriously, badly, gravely
መቼውንም	adv	at any time, whenever, at whatever time
ያለ፡ማረ	adv	mercilessly, callously, cruelly, heartlessly, cold-bloodedly
ማዶ	adv	facing, over there, opposite
በምስጢር	adv	clandestinely, in secret, behind closed doors, confidentially, in private
ምናልባት	adv	maybe, perhaps, possible, perchance
ምን፡ቆርጦኝ፡አልባት	adv	maybe, perhaps, possibly, probably, in all probability	or ምናልባት
ሞላ፡በሙሉ	adv	totally, wholly, utterly
በሙሉ/በሞላ	adv	wholly, utterly, completely, in its entirety, totally
ሞላ፡ልብ	adv	with all your heart, unreservedly, entirely, unconditionally
ሰርክ	adv	on a daily basis, day after day, day by day, each day
በየሰዓቱ	adv	every hour, hourly, time and again
በሰፊው	adv	expansively, far and wide, widely, comprehensively, broadly, all over
ስንኳ	adv	let alone…, albeit, not even, even though	or እንኳ
ቀረበ፡ለቅርብ	adv	adjoining, not far away, close by, round the corner, with splitting distance, next-door, nearby, just a stone's throw away
በቅርቡ	adv	of late, in recent times, only just, not long, newly
ከቅርብ፡ጊዜ፡ወዲህ	adv	since recently
ቀስ፡በቀስ	adv	bit by bit, gradually, slowly but surely
በቀስታ	adv	unhurriedly, slowly, gradually, leisurely
ሁል፡ቀን	adv	each day, day by day, day after day
ቀደም፡ሲል	adv	ahead of, earlier than, prior or previous to, before
ቀደመ፡ብሎ	adv	formerly, in advance, in earlier times, previously, ahead of time
ቅድም	adv	a while ago, before, previously, earlier
አስቀድሞ	adv	ahead of time, in advance, prior to
ከመ፡ቀጸበ	adv	without delay, in a flash, promptly, at once, right away, instantly swiftly, in a hurry in the twinkling of an eye
ቅሉ	adv	even so, nonetheless, all the same, despite that, be that as it may	used as ቢሆንም ቅሉ
