ሆነ	v+i	came to be, unfold
ለመለመ	v+i	came to be verdant, grassy, came to bear fruit
ተለመለመ	v+i	came to be peeled, skinned
ተለመሰሰ	v+i	came to be leveled, plane
ተለመነ	v+i	asked for alms, funds
ተለመደ	v+i	came to be customary, familiar
ተለማመደ	v+i	exercised, qualified oneself
ተላመደ	v+i	came to be familiar with
ለመጥ፡አለ	v+i	curved, inclined slightly
ልምጥ፡አለ	v+i	curved, inclined totally
ተለመጠጠ	v+i	beaten with a string (usually one's back)
ለማ	v+i	came to advance
ለሰለሰ	v+i	became frictionless
ተለሳለሰ	v+i	came to be a little lax in one's stand
ለሰሰ	v+i	came to be neither hot nor cold
ተለሰነ	v+i	became stuccoed, became quiet
ተለቀለቀ	v+i	over laid (floor, root), was varnished
ተለቃለቀ	v+i	washed down, flushed water to cleanse
ተለቀመ	v+i	was sieved
አለቀመ	v+i	winnowed
ተለቀቀ	v+i	was let to follow one's bent, was let to be independent
ተላቀቀ	v+i	was unfastened, became free-standing
ተለበለበ	v+i	charred, seared
ተለባበሰ	v+i	was covered up
ተለበቀ	v+i	became curved, tilted
ተለበበ	v+i	became controlled
አስለበበ	v+i	made to be controlled
ተለበደ	v+i	bound with (elastic, paper, leather, etc.)
ተለበጠ	v+i	was patched up
ለብ፡አለው	v+i	got boozed a little
ተለተመ	v+i	got slammed
ለኮፈ	v+i	hit out lightly
ተለወጠ	v+i	got altered, modified
ተለዋወጠ	v+i	converted, swapped
ለዘበ	v+i	became lenient, moderate
ለገመ	v+i	became deliberately inimical
ለገሰ	v+i	became philanthropic, alms-give
ተለጎመ	v+i	got haltered
አለጎመ	v+i	found fault among others
ተለጠለጠ	v+i	became shrunk, became mashed
አለጠለጠ	v+i	became well-built
ተለጠጠ	v+i	got extensile, elastic, lofty
ተለጠፈ	v+i	got plastered, stuccoed
ለጥ፡አለ	v+i	couched, stamped down
ለፈለፈ	v+i	became a non-stop talker
ተለፈፈ	v+i	raised a hue and cry, notified, was declared
ላላ	v+i	became lax, slack
ላመ	v+i	turned into dusty, fine particles
ላሸቀ	v+i	stirred up whisked
ላቅ፡አለ	v+i	rose above, surpassed
ላቆጠ	v+i	reduced to pulp, mashed
አላበ	v+i	got perspired
ተላላከ	v+i	became a courier, dispatch rider
ተላገ	v+i	became soft and leveled by rubbing down (usually wood)
ተላጠ	v+i	got skinned off, barked
ተላላጠ	v+i	got seriously skinned off (as a sign of healing, drying)
ተላጨ	v+i	got hair-cut, barbered
ተላፈ	v+i	got charred, scorched
ሑር፡ወጣ	v+i	was set free
ሕቅ፡አለ	v+i	burped, blew off, cleared the throat
ተመለሰ	v+i	went a homeward journey, went backwards
ተመላለሰ	v+i	traveled forward and backwards
ተመለጠ	v+i	turned hairless, got skinned off
ተመላለጠ	v+i	totally turned hairless, totally got skinned off
መላ፡ቅጡን፡አጣ	v+i	became doubtful and perplexed
ተመሠረተ	v+i	got instituted, installed
ተመረመረ	v+i	got examined, inquired
መረረው	v+i	became spiteful, embittered
ምርር፡አለ	v+i	got piqued, offended
ተማረረ	v+i	affected or upsetted by something
አማረረ	v+i	protested, cried blue murder, objected
ተመረቀ	v+i	graduated, was given thanks
መረቀዘ	v+i	infected, showing symptom of discord again
አመረቀዘ	v+i	infected, showed symptom of discord
መረተ	v+i	harvested
ተመረዘ	v+i	became toxic, noxious
ተማረዘ	v+i	became hostile vindictive to, another
ተመረገ	v+i	wall-papered with, mud, or cement
ተመረጠ	v+i	was accepted, opted, approved
ተመራ	v+i	came to be preceded (in a race)
መር፡አለ	v+i	skipped, took a running
መሰነ	v+i	came to impotent
መሰከረ	v+i	witnessed, bore witness
ተመሰከረ	v+i	was authenticated by one's oath
ተመሳከረ	v+i	authenticated, certified vis-à-vis one another
መሰከነ	v+i	came to be broke, bankrupt
መሸ	v+i	day-light went out, became dusk
አመሸ	v+i	burned the midnight oil
መታ	v+i	banged, knocked (at the door)
ተመታ	v+i	ws beaten
መነመነ	v+i	became skinny, bony
ተመነተፈ	v+i	was clutched at, was ransacked
መነነ	v+i	became isolationist, gave up the mundane life
ተመነዘረ	v+i	exchanged the currency
አመነዘረ	v+i	had extramarital relations, affairs
ተመነጠረ	v+i	got displaced, removed
ተመነጠቀ	v+i	was suddenly elevated, got suddenly seized
መነጨ	v+i	came out (as a source of opinion, notion), came out as source of water (as in well)
ተመከረ	v+i	was consulted
ተማከረ	v+i	assembled to seek advice, commend and deliberate
መከነ	v+i	became abortive (for a plan of action, etc.), became infertile (for birth)
ተመዘመዘ	v+i	was extracted, was milked, tapped
ተመዘበረ	v+i	was embezzled, indulged in breach of trust or misappropriation
ተመዘነ	v+i	was measured, laid on the scale
ተመዘዘ	v+i	was pulled out, became tall (for child)
ተመደበ	v+i	got apportioned, was assigned (to work at some place)
መደደ	v+i	became silly, nonsensical
መጠቀ	v+i	went to the space, flew high
ተመጣጠነ	v+i	became balanced, corresponding
ተመጠወተ	v+i	was granted donation
አመጠጠ	v+i	drained or hung out
ሙዋሙዋ	v+i	liquidized, unfreezed, held in solution
ሙዋሸሸ	v+i	contracted, deflated, condensed
ተሞጫጨረ	v+i	became abrasive, made marks as a result of rubbing
ተማለደ	v+i	became within reach, accessible (to give someone some assistance)
ማለገ	v+i	turned to gluey, gummy
ማረ	v+i	passed over, gave the go-by, took no notice of
ተማረ	v+i	was given the go-by
ተማማረ	v+i	agreed to overlook each other's trespasses
ማሰ	v+i	made a ditch, trench, grooved
ማቀቀ	v+i	became mortally ill, morose suffered a lot
ተማገረ	v+i	supported by sideways wood or iron
ተማገደ	v+i	was made to burn
ማገጠ	v+i	turned to do-nothing, sluggish
ሙልል፡አለ	v+i	became elliptic, crescent
አሞለጨ	v+i	skidded, slid
ሞለፈጠ	v+i	meaningless giggling, silly, cackling
ተሞላፈጠ	v+i	nonsensical gagling
ሞላ	v+i	was topped up, was brim-full, saturated, cram-full
አሞላ	v+i	gained flesh
ተሞላ	v+i	got topped up, was charged
ተሟላ	v+i	got refilled, was made good, was filled up
ሞረሞረ	v+i	got famished, starving
ሞቀ	v+i	came to be overheated, inflamed, got summery
ሞቀሞቀ	v+i	got indisposed, became putrid
አሞቀሞቀ	v+i	led to became indisposed, led to become putrid
ሞተ	v+i	ended one's life, deceased, expired
ተሞካከረ	v+i	was experimented upon, was researched
ሞከከ	v+i	was made much of, was hardboiled, overdone
ሙክክ፡አለ	v+i	gotten hardboiled, overdone
ሞዘዘ	v+i	came to be too uninteresting, un enjoyable and monotonous
ሙዝዝ፡አለ	v+i	turned out tiresome, un amusing
ሞገገ	v+i	turned out bony,
ተሞጨለፈ	v+i	clutched at and carried off (by force)
ሞጨሞጨ	v+i	became fluidy, watery or pussy (especially of the eyes)
ሟለጠ	v+i	became unstuck, peeled off
ሟሟ	v+i	was broken down or liquidized
ሠለጠነ	v+i	came to be refined, became the right person for the job
ሠመረ	v+i	came to be winning, victorious (in one's plans, intentions)
ተሸላለመ	v+i	offered gifts to one another
ሸለብ፡አደረገ	v+i	took a nap, drowzed
አሸለበ	v+i	fell asleep for a while, had forty winks
ተሸለተ	v+i	got skinned, got stripped bare, plucked
ሸመቀ	v+i	boiled with anger, took offense
ተሸመቀቀ	v+i	knitted together, laced, buttoned up
ተሸማቀቀ	v+i	became agitated, jittery
ተሸመተ	v+i	got purchased (cereals)
ተሽመደመደ	v+i	became ungraceful in one's movement
ሸመገለ	v+i	became elderly, greying, became an elderly negotiator, arbitrator
ሸመጠጠ	v+i	moved fast, skinned, peeled off, bore false witness
ሸረሞጠ	v+i	became sex-abuser, perverter
ተሸረሸረ	v+i	got rubbed down (usually by river, etc.)
ተሸረካከተ	v+i	got scrambled, plucked to pieces
ተሸረፈ	v+i	was cracked chipped
ተሸራረፈ	v+i	was cracked into several pieces
አሸረፈ	v+i	let something cracked
ሸሸ	v+i	escaped
ተሸሸገ	v+i	was concealed
ሸቀለ	v+i	bought and sold with little profit (as vendors do)
ሸቀበ	v+i	manipulated, falsely kept some amount (usually grain, seeds, etc) for oneself what should have been given away for the buyer
ተሸቀበ	v+i	got manipulated, falsely kept some amount of somebody's grain, etc, for oneself
ተሽበለበለ	v+i	looped, frizzled
አሸበሸበ	v+i	moved to and fro beautifully in choir dance
ተሸበበ	v+i	got snackled, chained
አሸበበ	v+i	caused somebody, something shackled, chained
ሸበተ	v+i	turned grey hair
ተሸነሸነ	v+i	was partitioned, interfenced, got creasy, folded (for cloth)
ሸነቀጠ	v+i	became well, able-bodied, athletic
ተሸነተረ	v+i	came to till, tend the land in series of arrangements, was worn out gradually,
ሸነደረ	v+i	became strabismal
ተሸኘ	v+i	was bade farewell, was said goodbye while parting the crew for good
ተሸከሸከ	v+i	caused to become a pulpy mass, mashed
ተሻኰተ	v+i	struggled hard
ተሸጐረ	v+i	was button-holed, fastened
ተሸጠ	v+i	was on sale, had a market
ሸፈተ	v+i	revolted, protested
ተሸፈነ	v+i	got wrapped, concealed
ተሸፋፈነ	v+i	enclosed, concealed oneself (with a piece of cloth)
ሸፈፈ	v+i	had divergent feet
ሹክክ፡አለ	v+i	did something in a sly manner
ሹዋ፡አለ	v+i	had let fall, poured, spilled
ተሻለ	v+i	got ameliorated, turned the corner, got rallied, was refined
ተሻሻለ	v+i	became reformed, got better
በዓል፡ሻረ	v+i	disregarded the holiday (and went to work)
ተሻረ	v+i	was lifted from one's power,
ሻቀለ	v+i	excruciated, tortured
ሻከረ	v+i	became uneven, choppy, ruffled
ሻከር፡አለ	v+i	became even more uneven, choppy, ruffled
ሻገተ	v+i	turned rotten, decayed
ተሻጠ	v+i	placed in between things, people
ሻፈደ	v+i	became highly stimulated to making love
ሽር፡አለ	v+i	became dandy
ሽክ፡አለ	v+i	got well-groomed, dandified
ሽው፡አለ	v+i	gossiped, blew (air, wind)
ሽፍ፡አለ	v+i	erupted on a skin
ሾለ	v+i	became narrowed and pointed
አሾለከ	v+i	assisted someone to escape by a sclose shove, or through backdoor, secret passage, was able to secretly import things from abroad
ተሾመ	v+i	was given a post in a company or government work place
ሾከከ	v+i	did something in a sly manner
ቀለለ	v+i	came to be feather-weighted, became rude, impolite
