ሀይ፡ሀይ፡አለ	v+t	made peace, pacified, resolved differences (disagreement), simmered down, comforted
አለመለመ	v+t	had (the plants) grow, shoot or mature
ለመሰሰ	v+t	curled hair, packed down or dense grass, etc)
ለመነ	v+t	pleaded, implored, inquired, begged
ተለማመነ	v+t	beseeched, implored
አለማመነ	v+t	supported a plea, helped in begging
አላመነ	v+t	assisted in beseeching, took part in a supplication
አስለመነ	v+t	made someone go through a plea
ለመዘገ	v+t	nipped quite hard
ተለመዘገ	v+t	got nipped hard
ለመደ	v+t	got familiar with, got hardened to
ለማመደ	v+t	began to be familiar with, started to become skilled at
አለመደ	v+t	taught, educated
አለማመደ	v+t	somewhat cultivated or disciplined (someone, something)
አለማመደ	v+t	made (others) accustomed to one another
አላመደ	v+t	made (others) familiar with one another
አስለመደ	v+t	facilitated for (others) to become familiarized or get used to, trained
ተለማመጠ	v+t	ingratiated, sucked up to, coaxed
አለመጠ	v+t	joked about, sent up, ridiculed
ለመጠጠ	v+t	was blazed, nipped, flogged
አለማ	v+t	made fruitful, urbanized
አስለማ	v+t	had (it) become urbanized or fruitful (productive)
አለሰለሰ	v+t	leveled, made it even and soft
አላሰነ	v+t	facilitated to make shiny surface, varnished or plastered
አስለሰነ	v+t	had (something) shiny surface, varnished, plastered or stuccoed
ለሸለሸ	v+t	compacted harvest, meadow, etc.
ለቀለቀ	v+t	rubbed oily or sticky substance (on something),blackened
አለቀለቀ	v+t	cleaned, washed (for instance, by dipping it into water)
አለቃለቀ	v+t	cleaned, washed to some extent
አስለቀለቀ	v+t	had something muddy, tarnished
ለቀም፡አደረገ	v+t	clutched, snatched, held
ለቃቀመ	v+t	picked and chose, collected a small amount hither and thither
ልቅም፡አደረገ	v+t	extracted (fished out)all weedy things from (usually, grain, etc)
አላቀመ	v+t	helped out in picking or collecting
አስለቀመ	v+t	had someone pick and choose
ለቀቅ፡አደረገ	v+t	loosen one's grip (on something, someone)
ልቅቅ፡አደረገ	v+t	freed, allowed to run free, let loose
አላቀቀ	v+t	caused to let off the hook, left (something, someone) liberated from, alienated from
አስለቀቀ	v+t	made possible the release of something or someone, caused to set free from
ለበለበ	v+t	somewhat charred, burnt a little, to some extent dried
አስለበለበ	v+t	had something charred
ለበሰ	v+t	clothed, was dressed in
ለባበሰ	v+t	fully clad
አለበሰ	v+t	clad someone
አለባበሰ	v+t	had someone fully clad, concealed, camouflaged
አለበሰ	v+t	assisted someone in clothing
አስለበሰ	v+t	had someone fully clad
ለበበ	v+t	put a rope or leather strap (usually, round the head of a horse)
ለበደ	v+t	coated or covered up with paper, leather etc. (usually, to protect the surface from dust and sweat)
አስለበደ	v+t	had something coated with paper, leather, etc.
ለበጠ	v+t	swathed with fabric(for instance, pillow)
አስለበጠ	v+t	rendered to be swathed with fabric
ለተመ	v+t	smashed into, collide with
ለካ	v+t	calculated the extent, size, or amount of
ለኮሰ	v+t	ignited, lighted, lit(cigarette, etc)
ለወሰ	v+t	pressed and stretched dough, wet clay, etc. with the hands so that it becomes firm and smooth, kneaded
ለወጠ	v+t	altered, swapped over, bartered, converted a check, etc. into cash
አለዘበ	v+t	lightened, eased
ለየ	v+t	alienated, estranged, separated, made a distinction, told between, discriminated, recognized
ለያየ	v+t	distinguished from one another, made (some of them) confidential(off the record), alienated, took apart
አለያየ	v+t	disconnected, isolated, cut off from one another, took a part, generated hostility amongst people
ለጋ	v+t	stroke, punched,(for instance, the ball), served (tennis, etc)
አላጋ	v+t	stroke or hit (against something)
ለጐመ	v+t	tied up (an animal) with shackle, halter, chain, prohibited (someone) from speaking
አስለጎመ	v+t	made someone tied up with shackle, halter, chain, had (someone) prohibited from speaking
ለጎደ	v+t	soaked with mire, blemished or tainted with mud
ለጠለጠ	v+t	compressed oil seed
ለጠቀ	v+t	followed next to someone, i.e. in a row
ለጠጠ	v+t	enlarged, expanded, distended, stretched out (elastic, spring, arms, etc)
አስለጠጠ	v+t	had (elastic, spring, arms, etc) enlarged, stretched out, distended, expanded
ለጠፈ	v+t	glued, fastened (for example, paper on a wall, etc.)
አስለጠፈ	v+t	made (someone) glued, fixed something as one, had somebody stuck
