English	Amharic		
የቀዳማዊ ኃይለ ሥላሴ፤	HAILE SELASSIE I 		
የሽልማት ድርጅት	PRIZE TRUSET 		
፲፱፻፶፯- ፲፱፻፰፩	1964-1968 		
.. በልዩ ልዩ ሙያዎች በተለይም ፣ በጤና ፣ አጠባበቅ፣ በኑሮ፣ መሻሻልና በሥነ ጥበብ ረገድ የኢትዮጵያ ሕዝብ ዕውቀቱን እንዲያስፋፋኑ እንደዚሁም በአፍሪቃ ክፍለ ዓለምና በመላው ዓለም ሕዝበፐች መካከል ያሉትን ግንኙነቶች በመንፈስ በባህልም እንዲጎለምሱ አስበን የቀዳማዊ ኃይለ ሥላሴ ሽልማት ድርጅትን ሐምሌ ፩ቀን ፲፱፻፶፭ ዓ.ም ለዘለቄታ ኑዋሪ እንዲሆን አቋቁመናል። 	Ethiopia studies Award 10 October 1964 PROF, MARCEL COHEN A Frenchman and  scholar of renown , professor Mrcel Cohenhas extensively written on Ethiopia especially on our history, customers, ceremonies, and games. In addition to his scholarly commitments, professor Cohen has been awarded the Croix de Guerre in both world wars. 		
ፕሮፌሰር ማርቤል ኮሄን የኢትዮጵያን ጥናት ለሚያጠኑ ሁሉ አራጋዊ መሪና በዓለም ጠራቀቁ የቋንቋ በተለይም የሴም ትምህርትች ሊቅ በፓሪስ የኢትዮጵያ ጥናት ትምህርት ቤት በመመስረታቸውና ላደረጉት ወደር ለሌለው ጥልቅ እንዲሁም ለተማሪዎቻቸው ተማሪዎች ለሰጡት መሪነትና ምሳሌ የ፲፱፻፶፯ ዓ.ም የቀዳማዊ ኃይለ ሥላሴ ሽልማት በኢትዮጵያ ጥናት የኢት ብር ፳ ሺህ ከወርቅ ኒሻንና ዲፕሎም ጋር ይሰጣቸዋል። 	The Haile Selassie award for Ethiopia Studies of a value of Eth. $20,000 gold medal, and diploma will be awarded to professor Marcel Cohen, doyen of Ethiopiacists world-renowned linguist and Semitic scholar, for his creation in paris of the school of Ethiopian Studies, and for the inspiration which, his orginginal research and brilliant writings have given to his contemporaries, his pupils and his pupils' pupils. 		
የፕፌሰር ማርሴል ኮሄን መልስስ፡ 	ACCEPTANCE SPEECH BY PROF. MARCEL COHEN 		
በኢትዮጵ ጥናት ተመራማሪነት ሥራዬን በማክበር የተሰጠኝን ሽልማት በላይ ላስተምር ፤ በዕድሜዬ ከኔ ያነሱ ወጣት ሊቃውንት በማሰልን በመርጥናቴን  በመቀጠል እዚሁ መጥተው ስላገለገሉ ብዙዎቹን ታውቋቸዋላችሁ። ዛሬም በማኅላችሁ ይገኛሉ ወደፊም ይመጣሉ። 	C'est avec une grande fierte que jiai requ la distinction qui m'a ete accordee ici comme couronnement de ma carriere d'ethiopisant. Au bout de plus de quarante annees ouj'ai enseigne i'amharigna et le geez, j'ai eu le plaisir, le bonheur, je dois dire, de former , d'aider plutot a la formation d'un assez grand nombre de savants plus jeunes que moi, qui continuent mes travaux, aet dont vous connaisez plusieurs, parce qu'ills sont venus travailler ici dans le pays-meme. ii y en aqui sejournent encore parmi vous, d'autres qui sont venus et qui revidendront encore. je dois mentionner aussique pendant ces annees d'etntre vous pourront connatre. 		
የኢትዮጵያ ጥናት ምርምር ባደረግባቸው ዓመታት ብዙ  መጻሕፍት ጽፈአለሁና እንደምታውቋቸው ተስፋ አለኝ። ከአዲስ አበባ በወጣሁ በሃምሳ ሦስት ዓመቴ ስለተመለስሁ ደስታ ይሰማኛል ሌላ ከተማ ሁናለች በኢትዮጵያ ውስ በተለይም በዋናይቱ ከተማ ሁናች። በኢትዮጵያውስጥ በተለይም በዋናይቱ ከተማ የተደረገውን እርምጃ ሰምቼ ነበር አሁን ግን በዓይኔ ዓየሁት። እዚህ በነበርኩበት ጊዜ ታላቁ ዳግማዊ ምኒልክ የዘመናዊውን ኑሮ ዓይነተኛ መሣሪያ ማተሚያ ቤትን አቋቁመው ነበር። የመጀመሪያዎቹም ትምህርት ቤቶች እንዲቋቋሙ ረድተው ነበር። ዛሬ እዚሁ መጻሕፍት በብዛት ይታተማሉ። ወጣት ደራሲዎ ብዙ ናቸው ትምህርት ቤቶችም በግርማዊ ቀዳማዊ ኃይለ ሥላሴ ደጋፊነት ቁጥራቸው ከፍ ብሏል ወደፊትም ይበዛሉ። ከዚህም በላይ ዛሬ ሁላችንም የተከበርንበት ይህ የሽልማት ድርጅት ስለተቋቋመ እኔ በተለይ ለግርማዊ ንጉሠ ነገሥት ምስጋናየን አቀርባለሁ።	C'est avec joie que je me suis retouve dans cette ville que jen'avais pas vue depuis 53 ans. je l'ai trouvee evidemment changee. j'ai vu la sous mes yeux ce que je capitale. Du temps ou j'y etais deja le grand Menelik ii avait introduit cet instrument de la vie moderne qu'est i'imprimerie, et il avait fovorise la creation de premieres ecoles. Aujourd ' hul ce sont des livres en grande quantite qui s'imriment ici. ii y a beaucopu de jenes auteurs, et sous le patronage de Sa majeste I' Empereur Haile Selassie les decoles se sont multipliees  et se multiplint et s'augmentent toujour. Et e plus il a founde cette nouvelle organisation dont nous beneficions aujourd;hui, et dnt je laremercie encore pour ma part. 		
ከግርማዊ ንጉሠ ነገሥት እጅ በኮሞዶር እስክንድር ደስታ አቅራቢነት ፕሮፌሰር ማርሴል ኮሄን ሲሸለሙ።	His imperial Majesty awarding prof. Marcel Cohen, presented by H.E . Commodors Iskinder Desta.		
የአፍሪካ ጥልቅ ምርምር ሽልማት ፲፱፻፶፮ ዓ.ም 	Africa Research Award 10 October 1964 		
