# Amharic Name	FULL_NAME	FULL_NAME_ND
	Bar Ierì	Bar Ieri
	Äthiopien	Athiopien
	Passo Gasciorchì	Passo Gasciorchi
	Meccìa Careccia	Meccia Careccia
	Kaḏḏa Feḏḏa	Kadda Fedda
	Kaḏḏa Feḏḏa	Kadda Fedda
	Kaḏḏa Moudoû‘oud	Kadda Moudou`oud
	Kaḏḏa Moudoû‘oud	Kadda Moudou`oud
	‘Ounḏa Feḏḏa	`Ounda Fedda
	‘Ounḏa Feḏḏa	`Ounda Fedda
	Aleibadei	Aleibadei
	Awkelef	Awkelef
	Alaybede	Alaybede
	Balleh Gubadle	Balleh Gubadle
	Balleh Khadar	Balleh Khadar
	Aran Areh	Aran Areh
	Aran-Arekh	Aran-Arekh
	Feerfeer	Feerfeer
ፈርፈር	Ferfer	Ferfer
ጉማር	Gumar	Gumar
	Uadda-Gumar	Uadda-Gumar
	Gumer	Gumer
	Wirir	Wirir
	Aa	Aa
አባ አሊ	Āba Ālī	Aba Ali
	Āba Āmder Shet’	Aba Amder Shet'
አባባ	Ababa	Ababa
	Ababar	Ababar
	Ababeic	Ababeic
አበበች	Ababeich	Ababeich
አባ ብሩክ	Āba Biruk	Aba Biruk
አባ ቦከር ተራራ	Āba Boker Terara	Aba Boker Terara
አባ ቦና	Āba Bona	Aba Bona
አባ ቦራ አገር	Āba Bora Āger	Aba Bora Ager
አባ ቦሩ	Āba Boru	Aba Boru
አባ ቡኮ	Āba Buko	Aba Buko
አባ ቡላ	Āba Bula	Aba Bula
አባ ጮርጋ	Āba Ch’orga	Aba Ch'orga
አባዲር	Ābadīr	Abadir
ጉቶ	Guto	Guto
ጉቱ	Gutu	Gutu
	Ābadīr Tekil	Abadir Tekil
	Ābadisē	Abadise
አባዶ	Ābado	Abado
አባዶ ኪዳነምህረት ቤተክርስቲያን	Ābado Kīdane Mihret Bēte Kristīyan	Abado Kidane Mihret Bete Kristiyan
አባዶ ስላሴ ቤተ ክርስቲያን	Ābado Silasē Bēte Kristīyan	Abado Silase Bete Kristiyan
	Āba Genda	Aba Genda
አባ ግርማ	Āba Gerīma	Aba Gerima
	Abba	Abba
አባ ግርማ	Āba Gerīma	Aba Gerima
	Abba Garima	Abba Garima
	Abba Gherima	Abba Gherima
አባ ግርማ ተራራ	Āba Gerīma Terara	Aba Gerima Terara
አባጌሮ ቦታ	Ābagero Bota	Abagero Bota
አባገና	Abagennen	Abagennen
	Abaghennen	Abaghennen
	Abaghimbi	Abaghimbi
አባ ጐቤ	Aba Gobe	Aba Gobe
አባጐቢ	Abagobi	Abagobi
አባጐልጃ	Āba Golja	Aba Golja
አባጐልጃ አገር	Āba Golja Āger	Aba Golja Ager
	Ābagolja Āger (1)	Abagolja Ager (1)
	Āba Golja Āger	Aba Golja Ager
	Ābagolja Āger (2)	Abagolja Ager (2)
	Aba Guyo Ana	Aba Guyo Ana
አባሃይሌ	Abahalle	Abahalle
	Abai Folan	Abai Folan
	Abaini	Abaini
	Āba Kibē	Aba Kibe
	Āba Kīdan Bota	Aba Kidan Bota
	Āba Kolshī Shet’	Aba Kolshi Shet'
	Āba K’undī	Aba K'undi
	Abala	Abala
	Ābalē	Abale
	Ābalē	Abale
	Ambara	Ambara
	Ābalē Wenz	Abale Wenz
አባ ሊባኖስ	Āba Lībanos	Aba Libanos
አባ ሊባኖስ (2)	Āba Lībanos (2)	Aba Libanos (2)
	Āba Lībanos	Aba Libanos
አባ ሊባኖስ (1)	Āba Lībanos (1)	Aba Libanos (1)
	Iancaru	Iancaru
አባ ሊባኖስ ጫካ	Āba Lībanos Ch’aka	Aba Libanos Ch'aka
አባሎ	Aballa	Aballa
	Ābalo	Abalo
	Ābalo	Abalo
	Ābalo	Abalo
	Ābalo	Abalo
	Monte Ovalo	Monte Ovalo
	Ābalola	Abalola
	Āba Lola Shet’	Aba Lola Shet'
	Ābalo Mēda	Abalo Meda
	Abam	Abam
	Monte Abam	Monte Abam
	Ābamar Bota	Abamar Bota
	Āba Mekereyta	Aba Mekereyta
	Āba Mesk	Aba Mesk
	Āba Mīlīk	Aba Milik
	Ābana Merekes Shet’	Abana Merekes Shet'
	Obno	Obno
	Ābana Shet’	Abana Shet'
	Ābanko Shet’	Abanko Shet'
	Abarche	Abarche
	Abarctie	Abarctie
	Ābargē	Abarge
	Ābaro	Abaro
	Ābaro	Abaro
	Ābaro	Abaro
	Passo Abarò	Passo Abaro
	Abaro Pass	Abaro Pass
አባሮባ	Abaroba	Abaroba
አባሮ ሚካኤል ቤተ ክርስቲያን	Ābaro Mīka’ēl Bēte Kristīyan	Abaro Mika'el Bete Kristiyan
	Abarra	Abarra
	Auarra	Auarra
	Ābas	Abas
	Aba Saimal	Aba Saimal
	Aba Simal	Aba Simal
አባ ሳሙኤል	Āba Samu’ēl	Aba Samu'el
	Abba Samuel	Abba Samuel
አባ ሳሙኤል ገዳም	Āba Samu’ēl Gedam	Aba Samu'el Gedam
አባ ሳሙኤል ሚካኤል ቤተክርስቲያን	Āba Samu’ēl Mīka’ēl Bēte Kristīyan	Aba Samu'el Mika'el Bete Kristiyan
አባ ሳሙኤል የውሀ ግድብ	Āba Samu’ēl YeWiha Gidib	Aba Samu'el YeWiha Gidib
	Āba Selam	Aba Selam
አባ ሰላማ	Āba Selama	Aba Selama
እንዳ አባ ሰላማ	Enda Abba Scelema	Enda Abba Scelema
	Āba Semar Shet’	Aba Semar Shet'
	Abasheres	Abasheres
	Āb’ā Shet’	Ab'a Shet'
	Āba Sīna	Aba Sina
	Abataros	Abataros
	Abu Hagar	Abu Hagar
	Ābate Āger	Abate Ager
አባ ተክሌ	Āba Teklē	Aba Tekle
	Abatimbo	Abatimbo
	Abatimbo el Gumas	Abatimbo el Gumas
	Abba Timbò el-Gumas	Abba Timbo el-Gumas
	Āba Wanī	Aba Wani
	Āba Wat’	Aba Wat'
	Āba Wat’ (1)	Aba Wat' (1)
	Alebamba	Alebamba
	Baba	Baba
	Āba Wat’	Aba Wat'
	Āba Wat’ (2)	Aba Wat' (2)
	Āba Wat’ Īyesus Bēte Kristīyan	Aba Wat' Iyesus Bete Kristiyan
አባ ውቤ አገር	Āba Wibē Āger	Aba Wibe Ager
	Cundi	Cundi
	Gandi Ghior	Gandi Ghior
	Ābawna Shet’	Abawna Shet'
	Ābwna Shet’	Abwna Shet'
አባይ	Ābay	Abay
አባ	Abba	Abba
ራስ አባይ	Ras Ābay	Ras Abay
ራስ አቤ	Ras Abbai	Ras Abbai
	Lake Abaya	Lake Abaya
አባያ ሐይቅ	Ābaya Hāyk’	Abaya Hayk'
አባ	Abba	Abba
አባያ	Abbaia	Abbaia
	Lake Abbaya	Lake Abbaya
	Margarita	Margarita
	Margerita	Margerita
	Lake Margherita	Lake Margherita
	Pagade	Pagade
አባያ እሳተ ገሞራ የፈለቀበት	Ābaya Isate Gemora YeFelek’ebet	Abaya Isate Gemora YeFelek'ebet
	Ābaya Isate Gemra Ye’felek’ebet	Abaya Isate Gemra Ye'felek'ebet
አባዬ	Ābayē	Abaye
	Abae	Abae
	Ābaye Āt’ir	Abaye At'ir
	Ābaye Āt’r	Abaye At'r
	Ābay Hāyk’	Abay Hayk'
	Āba Yonīs	Aba Yonis
