#Amharic Name	Name Type	Alternate Spelling
ሀለቃ	Male	
ሀለፎም	Male	
ሀሊላ	Female	
ሀሊማ	Female	
ሀሊድ	Male	
ሀምለሰት	Female	
ሀልዮ	Male	
ሀመልማል	Female	
ሀመረ	Female	
ሀሙሲት	Place	
ሀሙስ	Other	
ሀሙድ	Male	
ሀሚድ	Male	
ሀማሴን	Place	ሐማሴን
ሀሜት	Other	
ሀምሌ	Other	ሐምሌ
ሀምሌው	Other	
ሀምራዊ	Other	
ሀምስ	Other	
ሀምዛ	Male	
ሀረር	Place	ሐረር
ሀረገ	Female	ሐረግ
ሀረጉ	Male	ሐረጉ
ሀረግ	Female	ሐረግ
ሀረግ ሬሳ	Other	ሐረግ ሬሳ
ሀረጐት	Female	
ሀረጓ	Female	ሐረጓ
ሀሩር	Other	ሐሩር
ሀራ	Male	ሐራ
ሀራማት	Other	
ሀራዋጫ	Other	
ሀራጅ	Other	
ሀር	Other	ሐር
ሀርቤ	Other	
ሀሰተኛ	Other	
ሀሰት	Other	
ሀሰን	Male	
ሀሰነት	Female	
ሀሳሳውያን	Unknown	
ሀሳባዊ	Other	
ሀሳባዊነት	Other	
ሀሳባውያን	Other	
ሀሳብ	Other	
ሀሳዊ	Other	
ሀሴት	Other	
ሀሺም	Male	
ሀቀኛ	Other	
ሀቂቃ	Don't Know	
ሀቅ	Other	
ሀበሻ	Male	
ሀቢብ	Male	ሐቢብ
ሀብለ	Don't Know	ሐብለ
ሀብለወርቅ	Female	
ሀብል	Other	
ሀብተ	Male	
ሀብተመስቀል	Male	
ሀብተሚካኤል	Male	
ሀብተማርያም	Male	
ሀብተጊዮርጊስ	Male	
ሀብተስላሴ	Male	
ሀብተአብ	Male	
ሀብተእዝጊ	Male	
ሀብተወልድ	Male	
ሀብተየሱስ	Male	
ሀብተዮሐንስ	Male	
ሀብተገብርኤል	Male	
ሀብተጽዮን	Male	
ሀብተየስ	Male	
ሀብቱ	Male	
ሀብታሙ	Male	
ሀብታም	Other	
ሀብታሟ	Female	
ሀብታይ	Don't Know	
ሀብቴ	Male	
ሀብት	Other	
ሀብትዬ	Male	
ሀብትህ	Male	
ሀብቶም	Male	
ሀቱን	Male	
ሀቲታ	Don't Know	
ሀቲታዊ	Don't Know	
ሀቲት	Don't Know	
ሀች	Don't Know	
ሀነዴ	Female	
ሀኒማ	Female	
ሀኒፋ	Female	
ሀና	Female	
ሀንሱ	Female	
ሀኪም	Male	
ሀኪተኛ	Don't Know	
ሀኬተኛ	Unknown	
ሀኬት	Don't Know	
ሀዋ	Female	
ሀዋላ	Other	
ሀዋሪያ	Male	ሐዋሪያ
ሀዋሪያት	Male	ሐዋሪያት
ሀዋርያ	Unknown	ሐዋርያ
ሀዋርያት	Unknown	ሐዋርያት
ሀዋዝ	Male	ሐዋዝ
ሀውልት	Other	
ሀይሎም	Male	ሐይሎም
ሀይመቴ	Male	
ሀይረዲን	Male	
ሀይቅ	Other	
ሀይኮታ	Don't Know	
ሀይዞ	Othe	
ሀይደር	Male	
ሀደራ	Male	
ሀደሮ	Don't Know	
ሀዲስ	Male	ሐዲስ
ሀዲድ	Place	
ሀዳር	Other	
ሀዳስ	Female	
ሀድያ	Other	
ሀድጉ	Male	
ሀድጐ	Male	
ሀዱጀ	Male	
ሀዲ	Male	
ሀዲሽ	Male	
ሀድራ	Male	
ሀድጊ	Male	
ሀድጋይ	Male	
ሀጀራ	Male	
ሀጂ	Male	
ሀገረ	Female	
ሀገረሕይወት	Both	
ሀገረሰላም	Both	
ሀገሪቱ	Female	
ሀገራይ	Male	
ሀገሬ	Both	
ሀገሬነሽ	Female	
ሀገር	Other	
ሀገርነሽ	Female	
ሀገርሽ	Female	
ሀጋይ	Don't Know	
ሀጉሽ	Male	
ሀጐሳ	Female	ሐጐሳ
ሀጐስ	Male	ሐጐስ
ሀፍቱ	Male	
ሀጢአተኛ	Other	
ሀጢአት	Other	
ሀጥአን	Other	
ሁለላ	Unknown	
ሁለመና	Other	
ሁለመናዬ	Female	
ሁለተኛ	Other	
ሁለት	Other	
ሁለንተና	Other	
ሁለንተኛ	Other	
ሁሉ አገርሽ	Female	
ሁሉሰው	Male	
ሁሉቃ	Other	
ሁላላ	Other	
ሁመራ	Other	
ሁምና	Other	
ሁረታ	Don't Know	
ሁሩሙ	Don't Know	
ሁሩታ	Othe	
ሁሪሳ	Other	
ሁር	Don't Know	
ሁስንያ	Female	
ሁሴን	Male	
ሁነኛ	Male	
ሁነኛው	Male	
ሁኒማት	Unknown	
ሁኔማት	Don't Know	
ሁኔታ	Other	
ሁኔታዎች	Other	
ሁንዴ	Male	
ሁከት	Other	
ሁክት	Other	
ሁዳ	Female	
ሁዳዴ	Other	
ሁዳድ	Female	
ሂሩተስላሴ	Female	
ሂሩት	Female	
ሂሪቲ	Female	
ሂርና	Other	
ሂርጳ	Male	
ሂርጳሳ	Male	
ሂርጶ	Male	
ሂስ	Other	
ሂቡ	Other	
ሂደት	Other	
ሃሊ	Other	
ሃሌ	Other	
ሃሌ ሉያ	Other	
ሃምሳ	Other	
ሃሳባዊ	Other	
ሃና	Female	
ሃያ	Other	
ሃያት	Female	
ሃያላን	Other	
ሃይለ	Male	ሐይለ
ሃይለኛ	Other	
ሃይሉ	Male	
ሃይላኛ	Other	
ሃይሌ	Male	
ሃይል	Other	
ሃይሎም	Male	ሐይሎም
ሃይመቴ	Other	
ሃይማኖተ	Other	
ሃይማኖት	Both	
ሃይረዲን	Male	
ሃይደር	Male	
ሄለና	Female	
ሄለን	Female	
ሄሪያ	Female	
ሄርጌይ	Other	
ሄርሜላ	Female	
ሄኖክ	Female	
ሄዋን	Female	
ህሊና	Both	
ህሊናዊ	Other	
ህሊናውያን	Other	
ህላዊ	Male	
ህላዌ	Male	
ህልሽት	Don't Know	
ህልውና	Other	
ህማማት	Other	
ህሩይ	Male	
ህርጊጐ	Other	
ህቡእ	Other	
ህብረ	Other	
ህብረወርቅ	Female	
ህብረተ ሰብ	Government	ሕብረተ ሰብ
ህብረተ ሰብአዊ	Government	ሕብረተ ሰብአዊ
ህብረተ ሰብአዊት	Government	ሕብረተ ሰብአዊት
ህብረተ ሰብአዊንት	Government	ሕብረተ ሰብአዊንት
ህብረተ ስብአዊነት	Government	ሕብረተ ስብአዊነት
ህብረት	Other	ሕብረት
ህብስተ	Other	
ህብስተመና	Male	
ህብሰቱ	Male	
ህብስቴ	Both	
ህብስት	Both	
ህትመት	Other	
ህንደኬ	Other	
ህንጻ	Other	
ህክምና	Other	
ህዋ	Other	
ህዋሳታዊ	Other	
ህዋሳት	Other	
ህዋስ	Other	
ህዝቅኤል	Male	
ህዝቅያስ	Male	
ህዝባዊ	Other	
ህዝባዊት	Other	
ህዝብ	Other	
ህያብ	Female	
ህይወት	Both	ሕይወት
ህደጐ	Male	
ህዳር	Other	
ህዳግ	Other	
ህዳት	Male	
ህዳጐ	Unknown	
ህድረት	Other	
ህድአት	Other	
ህገ	Government	
ህጋዊ	Government	
ህግ	Government	ሕግ
ህግጋት	Other	
ህጸጽ	Other	
ህጻናት	Other	
ህጻን	Other	
ህጻጽ	Unknown	
ሆሄ	Other	
ሆሄያት	Other	
ሆለታ	Other	
ሆምጣጤ	Other	
ሆራ	Other	
ሆሳ	Other	
ሆሳእና	Both	
ሆቴሌች	Other	
ሆቴሎች	Unknown	
ሆይ	Other	
ሆይናስኪ	Other	
ሆነልኝ	Male	
ሆደ ባሻ	Unknown	
ሆጃ	Other	
ሆጄሌ	Other	
ሆጤ	Other	
ለሀጭ	Other	
ለሆሳስ	Other	
ለሆቴ	Other	
ለሊሳ	Female	
ለማ	Male	
ለማሽ	Female	
ለማኝ	Other	
ለሜሳ	Male	
ለሜቻ	Male	
ለምለም	Female	
ለምባዳ	Other	
ለምድ	Other	
ለምጻም	Other	
ለምጽ	Other	
ለሳኝ	Other	
ለሴ	Other	
ለስላሳ	Other	
ለቀማ	Other	
ለቅሶ	Other	
ለበስ	Other	
ለበቅ	Other	
ለባሲ	Other	
ለባዊት	Other	
ለቤ	Other	
ለብላቢ	Other	
ለተ	Both	
ለተሃይማኖት	Both	
ለተመስቀል	Both	
ለተብርሃን	Both	
ለተሩፋኤል	Both	
ለተሥላሴ	Both	
ለተሚካኤል	Both	
ለተንሳይ	Male	
ለተንጉሥ	Male	
ለተአምላክ	Male	
ለተአብ	Male	
ለተኪዳን	Both	
ለተዝጊ	Male	
ለተየሱስ	Male	
ለተዮሐንስ	Male	
ለተድንግል	Female	
ለተገብርኤል	Male	
ለቱ	Don't Know	
ለታ	Male	
ለታይ	Female	
ለንቋጣ	Other	
ለንጨጭ	Other	
ለአብ	Male	
ለአለም	Both	
ለከት	Other	
ለወግነሽ	Female	
ለውዘገነት	Female	
ለውጤ	Other	
ለዘብተኛ	Other	
ለዛ	Other	
ለዝና	Both	
ለየህ	Male	
ለይላ	Female	
ለይስሙላ	Other	
ለይኩን	Male	
ለገሠ	Male	
ለገሰ	Male	
ለገሰች	Female	
ለገደች	Don't Know	
ለጊ	Other	
ለጋ	Other	
ለጋስ	Other	
ለግላጋ	Other	
ለጥ ይበሉ	Male	
ለፍቶ አደር	Other	
ለፍቶ አዳሪ	Other	
ለፍዳዳ	Other	
ሉሉ	Female	
ሉሊተ	Female	
ሉሊቱ	Don't Know	
ሉሊት	Female	
ሉላ	Female	
ሉላአበባ	Female	
ሉላደይ	Female	
ሉላዳይ	Don't Know	
ሉሌ	Male	
ሉል	Male	
ሉልእሸት	Male	
ሉልሰገድ	Male	
ሉባባ	Female	
ሉቃስ	Male	
ሉቦ	Place	
ሉንዳል	Don't Know	
ሉቺያ	Female	
ሊሻነወርቅ	Female	
ሉካንዳ	Other	
ሉክ	Other	
ሉጫ	Other	
ሊሙ	Other	
ሊማሊሞ	Place	
ሊስትሮ	Other	
ሊሻን	Female	
ሊቀ	Male	
ሊቁ	Male	
ሊቃውንት	Male	
ሊቅ	Male	
ሊበን	Male	
ሊባቦ	Other	
ሊያ	Female	
ሊዲያ	Female	
ሊጋባ	Male	
ላሁጫ	Don't Know	
ላሊበላ	Place	
ላል ይበላ	Unknown	
ላሎ	Don't Know	
ላመስግን	Male	
ላሚሶ	Male	
ላሜዳ	Other	
ላም	Other	
ላም እነት	Unknown	
ላምሮት	Both	
ላምባ	Other	
ላምባ ዲና	Unknown	
ላምፋ	Don't Know	
ላስቲክ	Other	
ላቀ	Male	
ላቀህ	Male	
ላቀች	Female	
ላቀዉ	Male	
ላቀው	Male	
ላብ አደር	Other	
ላንቲካ	Other	
ላንጋኖ	Other	
ላንፊያ	Don't Know	
ላእላይ	Other	ላዕላይ
ላእከ	Male	ላዕከ
ላእከማርያም	Male	ላዕከማርያም
ላእከሥላሴ	Male	ላዕከሥላሴ
ላእከፅዮን	Male	ላዕከፅዮን
ላኪ	Other	
ላካቸው	Male	
ላዛ	Other	
ላይኔ	Male	
ላይዳ	Other	
ላዳን	Other	
ላጲሶ	Male	
ላፒሶ	Unknown	
ሌማት	Other	
ሌባ	Other	
ሌንጫ	Other	
ሌንጮ	Male	
ሌዊ	Other	
ሌዋውያን	Other	
ሌጣ	Other	
ሌጦ	Other	
ልመነው	Male	
ልመንህ	Male	
ልሙጥ	Other	
ልማት	Other	
ልማድ	Other	
ልምጭ	Other	
ልሳነ	Male	
ልሳነወርቅ	Male	
ልሳኑ	Male	
ልሳን	Male	
ልሻን	Female	
ልቃሚ	Other	
ልቃቂት	Other	
ልቅ	Other	
ልበ	Other	
ልቡና	Other	
ልቡናዊ	Other	
ልባርጋቸው	Male	
ልባስ	Other	
ልባብ	Other	
ልባንጃ	Other	
ልባዊ	Other	
ልቤ	Other	
ልብሰ ተክህኖ	Other	
ልብስ ሰፊ	Other	
ልብነ ድንግል	Other	
ልት	Unknown	
ልትት	Unknown	
ልኡል	Male	ልዑል
ልኡካን	Other	ልዑካን
ልእልት	Female	ልዕልት
ልእልና	Other	ልዕልና
ልኬ	Female	
ልክ የለሽ	Female	ልኬለሽ
ልኮንክ	Male	
ልኳንዳ	Other	
ልዋጭ	Other	
ልውውጥ	Other	
ልዑል	Male	
ልዑለሥላሴ	Male	
ልዑልሰገድ	Male	
ልዑልወርቅ	Female	
ልዕልት	Female	
ልዝብ	Other	
ልየው	Male	
ልዩ	Female	
ልዩወርቅ	Both	
ልይህ	Male	
ልይሽ	Female	
ልደቱ	Male	
ልደታ	Other	
ልደት	Both	
ልጃም	Don't Know	
ልጃገረድ	Other	
ልጅ	Other	
ልጅቱ	Other	
ልጅነት	Other	
ልጆች	Other	
ልገሳ	Other	
ልግመኛ	Other	
ልጓም	Other	
ልጣጭ	Other	
ልጨኛ	Unknown	
ልፈፋ	Other	
ልፊያ	Other	
ልፋት	Other	
ልፍስፍስ	Other	
ልፍቶ አደር	Other	
ሎሌ	Male	
ሎቲ	Other	
ሎጊያ	Unknown	
ሎዛ	Female	
ሎሚናት	Female	
ሎሚ	Female	
ልጅአለም	Male	
ሐሌሉያ	Female	
ሐማሴን	Other	
ሐረገ	Both	
ሐረገወይን	Female	
ሐረግነሽ	Female	
ሐረጎት	Male	
ሐራ	Male	
ሐቢብ	Male	
ሐብለ	Other	
ሐና	Female	
ሐኔ	Female	
ሐዋ	Female	
ሐዋርያት	Male	
ሐዋዝ	Male	
ሐይለ	Male	
ሐይሎም	Male	
ሐዲስ	Male	
ሐጁ	Male	
ሐጐስ	Male	
ሐፍዝ	Don't Know	
ሕሩይ	Male	
ሕይወት	Both	
ሕይወትነሽ	Female	
ሕግ	Other	
ሕዝቅያስ	Male	
መሀለቅ	Other	
መሀሉ	Other	
መሀላ	Other	
መሀል	Other	
መሀል ሜዳ	Place	
መሀል ሰፋሪ	Other	
መሀመድ	Male	
መሀሙዲ	Male	
መሀሙዴ	Male	
መሀረኝ	Other	
መሀሪ	Male	መሐሪ
መሀንዲስ	Other	
መሀከለኛ	Other	
መሀከል	Other	
መሃባው	Male	
መሃቤ	Male	
መሃዲ	Male	
መሃይም	Other	
መሄኦ	Other	
መህረተ አብ	Male	
መህቡባ	Male	
መህዲ	Male	
መህዲያ	Male	
መህን	Unknown	
መሆዶ	Don't Know	
መለሎ	Other	
መለሰ	Male	
መለሰች	Female	
መለሱ	Other	
መለስ	Male	
መለስልኝ	Other	
መለስተኛ	Other	
መለከት	Other	
መለኪያ	Other	
መለኮታዊ	Other	
መለኮታዊነት	Other	
መለኮታውያን	Other	
መለኮት	Male	
መለዋወጫ	Other	
መለያ	Other	
መለዮ	Other	
መሊካ	Female	
መላ ምት	Other	
መላሂ	Other	
መላላጫ	Other	
መላሰኛ	Other	
መላተ ወርቅ	Female	
መላእክት	Both	
መላከ	Male	
መላከሕይወት	Male	
መላከሰላም	Male	
መላከስብከት	Male	
መላኩ	Male	
መላክ ሰገድ	Male	
መላክ ነሽ	Female	
መላጊያ	Other	
መላጣ	Other	
መሌአኩ	Male	
መልህቅ	Other	
መልሰው	Male	
መልሳቸው	Male	
መልአከ	Male	
መልአኩ	Male	
መልአክ	Male	
መልእል	Other	
መልእክተኛ	Other	
መልእክተኞችና	Other	
መልእክት	Both	
መልከ	Male	
መልከማርያም	Both	
መልከ ጼዴቅ	Male	
መልከኛ	Other	
መልከአ ምድር	Other	
መልኪቱ	Female	
መልካ	Male	
መልካ ቦሎ	Place	
መልካሙ	Male	
መልካሜ	Both	
መልካም	Both	
መልካም ነሽ	Female	
መልካሟ	Female	
መልካረፉ	Other	
መልካሰዲ	Place	
መልካሳ	Place	
መልካየሁ	Both	
መልኬ	Both	
መልኬነሽ	Female	
መልክ	Both	
መልክአ ምድር	Other	
መሎቲ	Other	
መሐመድ	Male	
መሐመድሰይድ	Male	
መሐመድባኒ	Male	
መሐመድኑር	Male	
መሐመድአሚን	Male	
መሐመድአወል	Male	
መሐመድአጣ	Male	
መሐመዲን	Male	
መሐሪ	Male	
መሕዲ	Male	
መመህራን	Other	
መመሪያ	Other	
መመኪያ	Other	
መመዘኛ	Other	
መመዝገቢያ	Other	
መመደቢያ	Other	
መማክርት	Other	
መምህራን	Other	
መምህር	Other	
መምሪያ	Other	
መምቻ	Other	
መሠረታዊ	Other	
መሠረት	Both	
መሥሪያ	Company	
መሥቀል	Other	
መረሬ	Other	
መረርቱ	Other	
መረሰ	Male	
መረሳ	Male	
መረተ	Male	
መረተወርቅ	Female	
መረጠች	Female	
መረቅ	Other	
መረባ	Other	
መረብ	Other	
መረን	Other	
መረዋ	Other	
መረጃ	Other	
መረግድ	Don't Know	
መሪ	Other	
መሪሃ	Male	
መሪም	Female	
መሪኮከብ	Female	
መራኒ	Male	
መሪዎች	Other	
መራ	Other	
መራሄ	Male	
መራራ	Male	
መራቤቴ	Place	
መራዊ	Male	
መራው	Male	
መራጃ	Other	
መሬት	Other	
መሬማ	Female	
መርሃ	Male	መርሐ
መርሐንከብ	Male	
መርሃፅዮን	Male	
መርህ	Other	
መርሆ	Other	
መርሐ	Male	
መርሞሌ	Don't Know	
መርሲ	Other	
መርሳ	Male	
መርሴ	Unknown	
መርስኤ	Male	መርስዔ
መርስዔ	Male	
መርሶ	Other	
መርሻ	Male	
መርሽ	Don't Know	
መርቆሬዎስ	Male	
መርቆርዮስ	Male	
መርኔ	Don't Know	
መርአዊ	Male	መርዓዊ
መርእድ	Male	መርዕድ
መርከበኛ	Other	
መርከብ	Other	
መርከቦች	Other	
መርዘኛ	Other	
መርዝ	Other	
መርዳሳ	Other	
መርዶ	Other	
መርዶፋ	Other	
መርገጫ	Don't Know	
መርገፍ	Other	
መርጊያ	Male	
መርጋ	Male	
መርግ	Other	
መርጡለ	Unknown	
መርጡለ ማርያም	Place	
መርፌ	Other	
መሮ	Other	
