#Amharic Name	Latin Transcription	Alternative Amharic Spelling
ሀልዮ	Hälleyo	
ሀመልማል	Hämälmal	
ሀመረ	Hämärä	
ሀሙሲት	Hämusit	
ሀሙስ	Hämus	
ሀሙድ	Hämud	
ሀሚድ	Hämid	
ሀማሴን	Hämasén	
ሀሜት	Hämét	
ሀምሌ	Hämlé	ሐምሌ
ሀምሌው	Hämléw	
ሀምራዊ	Hämrawi	
ሀምስ	Hämes	
ሀምዛ	Hämza	
ሀረር	Härär	ሐረር
ሀረገ	Härägä-	ሐረገ
ሀረጉ	Härägu	ሐረጉ
ሀረግ	Häräg	ሐረግ
ሀረግ ሬሳ	HärägRésa	ሐረግ ሬሳ
ሀረጐት	Härägot	ሀረጎት
ሀረጓ	Härägʷ	ሐረጓ
ሀሩር	Härur	ሐሩር
ሀራ	Hära	
ሀራማት	Häramat	
ሀራዋጫ	Härawač̣a	
ሀራጅ	Härraj	
ሀር	Härr	
ሀርቤ	Härbé	
ሀሰተኛ	Hässätänna	
ሀሰት	Hässät	
ሀሰን	Häsän	
ሀሳሳውያን	Hässabaweyan	
ሀሳባዊ	Hässabawi	
ሀሳባዊነት	Hässabawinnät	
ሀሳባውያን	Hässabaweyan	
ሀሳብ	Hässab	
ሀሳዊ	Hässawi	
ሀሴት	Hässét	
ሀሺም	Häsim	
ሀቀኛ	Häqqäñña	
ሀቂቃ	Häqiqa	
ሀቅ	Häqq	
ሀበሻ	Häbäša	
ሀቢብ	Häbib	
ሀብለ	Häblä-	
ሀብል	Häbl	
ሀብተ	Häbtä-	
ሀብቱ	Häbtu	
ሀብታሙ	Häbtamu	
ሀብታም	Häbtam	
ሀብታይ	Häbtay	
ሀብቴ	Häbté	
ሀብት	Häbt	
ሀብትህ	Häbteh	
ሀቲታ	Hätita	
ሀቲታዊ	Hätitawi	
ሀቲት	Hätit	
ሀች	Häčč	
ሀና	Hänna	
ሀኪም	Häkim	
ሀኪተኛ	Häkétäñña	
ሀኬተኛ	Häkétäñña	
ሀኬት	Häkét	
ሀዋ	Häwwa	
ሀዋላ	Häwwala	
ሀዋሪያ	Häwareya	ሐዋሪያ
ሀዋሪያት	Häwareyat	ሐዋሪያት
ሀዋርያ	Häwareya	ሐዋርያ
ሀዋርያት	Häwareyat	ሐዋርያት
ሀዋዝ	Häwaz	
ሀውልት	Häwet	
ሀይሎም	Häylom	
ሀይመቴ	Häymäté	
ሀይቅ	Häyq	
ሀይኮታ	Häykota	
ሀይዞ	Häyzo	
ሀይደር	Häydär	
ሀደራ	Hädära	
ሀደሮ	Hädäro	
ሀዲስ	Häddis	
ሀዲድ	Hädid	
ሀዳር	Hädar	
ሀዳስ	Häddas	
ሀድያ	Hädeyya	
ሀድጉ	Hädgu	
ሀድጐ	Hädgo	
ሀገረ	Hägärä-	ሐረግ
ሀገር	Hägär	
ሀገርሽ	Hägäreš	
ሀጋይ	Hägay	
ሀጐሳ	Hägosa	ሐጐሳ
ሀጐስ	Hägos	ሐጐስ
ሀጢአተኛ	Haṭi'ätäñña	
ሀጢአት	Häṭi'ät	
ሀጥአን	Häṭe'än	
ሁለላ	Huläla	
ሁለመና	Hullämäna	
ሁለተኛ	Hulättäñña	
ሁለት	Hulätt	
ሁለንተና	Hulläntäna	
ሁለንተኛ	Hulläntäna	
ሁሉ አገርሽ	HulluÄgäreš	
ሁሉቃ	Huluqa	
ሁላላ	Hulala	
ሁመራ	Humära	
ሁምና	Humna	
ሁረታ	Huräta	
ሁሩሙ	Hurumu	
ሁሩታ	Hurruta	
ሁሪሳ	Hurrisa	
ሁር	Hurr	
ሁሴን	Husén	
ሁነኛ	Hunäñña	
ሁነኛው	Hunäññaw	
ሁኒማት	Hunimat	
ሁኔማት	Hunimat	
ሁኔታ	Hunéta	
ሁኔታዎች	Hunétawočč	
ሁንዴ	Hundé	
ሁከት	Hukät	
ሁክት	Hukät	
ሁዳዴ	Hudadé	
ሁዳድ	Hudad	
ሂሩት	Hirut	
ሂርና	Hirna	
ሂርጳ	Hirp̣a	
ሂስ	His	
ሂቡ	Hibu	
ሂደት	Hidät	
ሃሊ	Hallé	
ሃሌ	Hallé	
ሃሌ ሉያ	Hallé Luya	
ሃምሳ	Hamsa	
ሃሳባዊ	Hässabawi	
ሃያ	Haya	
ሃያላን	Hayyalan	
ሃይለ	Haylä-	
ሃይለኛ	Hayläñña	
ሃይሉ	Haylu	
ሃይላኛ	Hayläñña	
ሃይሌ	Haylé	
ሃይል	Hayl	
ሃይሎም	Haylom	
ሃይመቴ	Haymäté	
ሃይማኖተ	Haymanotä-	
ሃይማኖት	Haymanot	
ሄለና	Héläna	
ሄለን	Hélän	
ሄርጌይ	Hérgéy	
ሄኖክ	Hénok	
ሄዋን	Héwan	
ህሊና	Hellina	
ህሊናዊ	Hellinawi	
ህሊናውያን	Hellinaweyan	
