#Amharic Name	Latin Transcription	ASCII Transcription
ሀብተማርያም ወርቅነህ /ሊቀ ሥልጣናት/	Habtämaryam Wärqenäh	Habtemariam Workineh
ሀብተ ወልድ ወልደ ሥላሴ	Habtä-Wäld Wäldä-sellassé	Habte Wold Wolde Sellassie
ሃይማኖት ታደሰ	Haymanot Taddäsä	Haimanot Taddese
ህላዌ ተክለ ማርያም	Hellawé Täklämaryam	Hellawe Tekelemariamm
ህላዌ ገብረ እግዚአብሔር	Hellawé Gäbrä-Egziabhér	Hellawe Gebre Egziabher
ሆይናስኪ ስታንስሎው	Chojnacki, Stanislaw	Chojnacki, Stanislaw	Non-Ethiopian
ለማ በላይነህ	Lämma Bälaynäh	Lemma Belaineh
ለማ ወርቄ	Lämma Wärqé	Lemma Worke
ለማ ፈይሳ	Lämma Fäyysa	Lemma Feissa 
ለገሠ አበበ	Läggäsä Abbäbä	Leggese Abebe
ሉሌ መልአኩ	Lulé Mälaku	Lule Melaku
ሉልሰገድ ዓለማየሁ	Lulsäggäd Alämayyähu	Luelseged Alemayehu
ሉቃስ ጐበዜ	Luqas Gwäbäzé	Lukas Gobeze
ሉንዳል ጴጥሮስ	Lundahl, B P	Lundahl, B P	Non-Ethiopian
ሉንድግሬን ፤ ማንፍሬድ /ቄስ/	Lundgren Manfréd Pastuer	Lundgren Manfréd, Pasteur	Non-Ethiopian
ላቀው ትእዛዙ	Laqäw Tezazu	Lakew Tiezazu
ላቀው ደስታ	Laqäw Dästa	Lakew Desta
ልሳነ ክርስቶስ ተስፋዬ	Lessanä-Kerestos Täsfayé	Lissane Kirstos Tesfaye
ልሻን ደስታ	Leŝan Dästa	Lishan Desta
ልዕልት ጽጌ	Leelt Şegé	Leelt Tsige
ልጃም ይስሐቅ	Lejam Yeshaq	Lijam Yishak
ሐረገ ወይን በየነ	Harägä-Wäyn Bäyyänä	Harege Weyn Beyene
ሐማሴን ብሔራዊ ስፖርት ፋና	Hamasén Behérawi Sport Fana	Hamasen Beheraw Sport Fana
ሐዋዝ ሙላት	Hawaz Mulat	Hawaz Mulat
ሐዋዝ ወልደ ሚካኤል	Hawaz Wäldä-Mikaél	Hawaz Weled-Mikael
ሐይሎም አድሐነ	Haylom Adhanä	Hailom Adhane
ሐዲስ ወልደ ጻድቅ	Haddis Wäldä Sadeq	Haddis Wolde Tsadik
ሐዲስ ዓለማየሁ	Haddis Alämayyähu	Haddis Alemayehu
ሐፍዝ ዳዉድ	Hafez Dawd	Hafez Dawd	Non-Ethiopian
መለሰልኝ አንለይ	Mälläsäleň Annelläy	Meleselign Aniley
መልአከ ኃይል መንገሻ	Mälakä-Hayl Mängäša	Melake Hail Mengesha
መላኩ ኃይሉ	Mälaku Haylu	Melaku Hailu
መላኩ ደስታ	Malaku Dästa	Melaku Desta
መልአኩ ፈለቀ	Mälaku Fälläqä	Melaku Feleke
መሐመድ እድሪስ	Mähammäd Edris	Mohammed Edris
መሐመድ ዑስማን	Mähammäd Usman	Mohammed Usman 
መሐሪ ትርፌ /ሊቀ ሊቃውንት/	Mähari Terfé	Mehari Tirfe
መሐሪ ካሣ	Mähari Kasa	Mehari Kasa
መሠረት መንገሻ	Mäsärat Mängäša	Meseret Mengesha
መሠረት ስብሐት ለአብ	Mäsärät Sebhat-Läab	Meseret Sebahat-Leab
መርሐ ጽድቅ ኮከብ ልኮንክ	Märha-SedQ Kokäb Lekonk	Merha Tsidk Kokeb Likonk
መርስዔ ኃዘን አበበ	Marsé-Hazän Abbäbä	Merse-Hazen Abebe
መርስዔ ኃዘን ወልደ ቂርቆስ፣ ብላታ	Marsé-Hazän Waldä-Qirqos	Merse-Hazen wolde Kirkos
መርሻ ወዳጆ	Maršša Wodağğo	Mersha Wodajo
መሰለ እጅጉ	Mässälä Ejjegu	Mesele Ejigu
መስቀሉ ባልቻ	Mäsqälu Balča	Meskelu Balcha
መስፍን ሀብተ ማርያም	Mäsfen Habtä-Maryam	Mesfin Habte-Mariam
መስፍን ልሳኑ	Mäsfen Lessanu	Mesfin Lissanu
መስፍን ተፈራ	Mäsfen Täfärra	Mesfin Teferra
መስፍን ወልደማርያም	Mäsfen Wäldämaryam	Mesfin Woldemariam
መስፍን ዓለማየሁ	Mäsfen Alämayyähu	Mesfin Alemayehu
መሸሻ ግዛው	Mäšäša Gezaw	Meshesha Gizaw 
