# ITALIANO	OROMO	OROMO-Ethiopic	AMARICO	AMARICO-Ethiopic	TIGRINO	TIGRINO-Ethiopic	FRANCESE	ARABO A.O - Egitto - Asia - Libia - Africa sett.
abbaiare	óuttu 		tciohà	ጮኸ	neqqewè	ነቂሁ	aboyer	nabach - mabach
abbandonare	lakkisu, bakaciù		tawà	ተወ	reqquettè		abandonner	tarak, saiab - trak kallä
abbasso	gaddi, gotu	ገዲ	tacc	ታች	tahetì	ታህቲ	en bas	taht - tâhht
abbastanza	gaè		ibecal	ይበቃል	ekhùl, bezùh	እኩል እዩ	assez	beziada, kifâye, kafa - bess, jäser
abbattere	cacciabù	ጨብሳ	afrasc	አፍራሽ	auwedeqè	አውዲቁ	abattre	hâbbat - hârrab, ramâ
abbellire	midagu		assammàri	አሳማሪ	atsebbeqè		orner	zârraf, zâiian - sfax
abbiamo	mukabna		allenè	አለን	allatenna	አለና	nous avons 	ihnâ lîna - hadnàs
abile	beka	ቤካ	belh	ብልህ	belih,	በልሁ	adroit, habile 	arîb, sciâter, sâtir - stämlec
Abissinia	Gandà Amara		Habescià	ሃበሻ	habescià	አበሻ	Abyssinie	habscha, bilâd el-hhabas, balad el habesch
abissino	amara, sidàma		ityoppiawi	ኢትዮጵያዊ	ityoppiawi	ኢትዮጵያዊ	abyssinien	ebn el habscha - wûld el habesch
abitare	bulllu	ቡሉ	addàri	አዳሪ (መኖር)	haderè	ህዳር	habiter	sacan, qadd, sikin - skèn
abitazione	mana	መና	biet	ቤት(መኖሪያ)	bièt, mehdàr	ቤት፣ ማህደር	logis, demeure	bet, ecâma, mâscan - hhôsc
abito	wajà		lebs	ልብስ	billai, kedàn	ክዳን	habit 	jedîta, lebs, chêssua, badle - kât
abitudine	amàla, sèrra	አመላ	leumàd	ልምድ	lemàd	ልምዲ	habitude	aâda, hâda - hâdè
abiurare	gatu		kagg	ከዳ	chehadè		ajurer	irtadda, râfad, ancâr  - kên
abluzione	dikacciù		atbet		hetswèt		ablution	udû, wudû - udû
acacia	zòbi, dototà		alà, zohb		alà		acacia	auäc, sant, futna
accampamento	incubau		sefèr	ሰፈር	sefèr	ሰፈር	campement	manzal, mahâskar - biǔt
accanto	birà, diò	ቢራ(ዲዮ)	qqerb, ttegh	ቅርብ (ጎን)	querbà	ቅረብ	près de	carib, hand - zär, jânb
accattone	matayò		lemmàgn	ለማኝ	lemmani	ለማኒ	pauve, gueux	sciahâd, fachîr, maskîn - säsi
accecare 	giàmu, giàmsu		hainatteffà	አይን አጠፋ	aewerè	አዊሩ	aveugler	aâma - hämä
accedere	addiàu		ghebà	ገባ	atewaè	አትዩ	accèder	dâkal - haddä
accendere	bobesu	ቦቤሱ	eqàttala	(ማብራት)	andedè		allumer	naurar, wallâh, asceâl - wâllah
accenditore	baruda	ባሩዳ	qettely	(ማብሪያ)	menkesy		allumette	zinâd - sahhâlä
accidente	acciàma	ኢቺማ	mekkerà	መከራ	denghèt	ድንገት	malheur	massîba, wâqha - sâchta
acconciatura	gonfò	ጎንፎ	zomà	ዞማ	zengàfya		coiffure	msat, siltet
accorciare	gababsu	ገባብሱ	asatterè	አሳጠረ	chenedè		raccoureir	qassar - gassar
accumulare	guru	ጉሩ	kàmmere	ከመረ	kuommerè	ኮማሪ	accumuler	caddas, lam, izdâd - kdês
accusa	kippò		keuss	ክስ(ውንጀላ)	chessi, chessà		accusation	sciachîa, tûhma, mottham - gbâhha
accusare	kippau		kessès	ክሰስ	chessesè		accuser	qarâf, asctaca - grarrem
acerbo	imbilciata		omttattà	ኮምጣጣ (ያልበሰለ - ለአትክልት)	guèb		vert	hâmid - kdar
aceto	dangagà	ዳንገጋ	omttattà	ኮምጣጤ	mettattà		vinaigre	hhall - kall
a che ora?	cam sàhti?	ከም ሰአቲ	lamen seat?	ለምን ሰዓት(በስንት ሰዓት)	bechendey seat?	ሰንደይ ሰዓት	à quelle heure?	man saa? - âma saha?
acqua	bisani	ቢሻን	uahà	ውሃ	mai	ማይ	eau	môia, mayya - mê
acqualimone	bisami tuto		uahà lomi	ውሃ ሎሚ	mailomi	ማይ ለሚን	limonade	môia, laimun - mê gâres
acquamelata	bulbulè		teg	ጠጅ	mess	ሜስ	hydromel	môia hasal - mê häsäl
acquavite	dadi		areqqì	አረቄ	areqhì		eau-de-vie	sciôrba - sciadîd
acquitrino	burukà	ዲንገጋ	mehàz - mài		qorqorò		marécage	boîra, âgiam - grèdîr
adagio, proverbio	makmaksa	መክማክሳ	teret	ተረት	messelà	ምስላል	proverbe	mâtsal, taâlim - mahalläm
addio	nagà		senbettà	ሰንበት	dehan weàl		adieu	bisselêmä - sêllem
addormentare	ràfisu	ረፈሱ	angulaccè	  (ማሰተኛት)	deqqesè	ደቀሱ	endormir	nam, nâm - rêgged
adesso	iè, ammà	ኢማ	haùm	አሁን	heggì	ህጂ	maintenant	elân, baqâ, qawâm - hâd
adorare	sagadu		seghedè	   (መንሰፍሰፍ)	seghedè		adorer	daâ, sallâ - shâlla
adulare	sosobu	ሶሶቡ	aqqelammettè	አቆላመጠ	sceqquelè		aduler	mâdah - sckar
aeroplano	aeofuciù		medinà berrerèt	(አውሮፕላን)	mezewer neferèt	መዘወር	aèroplane	bdithôttyr - tiyâre
agguato	gomò		scemekà, adagà	ጨመቀ (መያዝ)	hadagà		embuscade	khiâna, kamîn - kmîn
agile	coppè	ቆጴ	beleuh	ቀልጣፋ	seulùh	ስሉጥ	souple	khafif, labek - hharhhût
agire	goddu	ጎዶ	aderreghè	አደረገ - ፈጥኖ ማድረግ	gheberè	ገቢሩ	opèrer	âmal, sanâ - kredêm
agitare	socciu	ሶቾሱ	wezewwezè	ወዘወዘ	qqesqqesè		agiter	hâiag, harrak - hhârres
agitazione	nama danfa		hùket	ሁከት	hùket	ሁኩቲ	agitation	haraka, tasciuîsc - hamm
