# Simple Perfect	Compound Perfect	Contingent	Compound Imperfect	Jussive	Imperative	Gerund	Infinitive	Participle	Translation	Verb Type
ሆነ	ሁኗል, ሆኗል	ይሆን	ይሆናል	ይሁን	ሁን	ሁኖ,ሆኖ	መሆን	ኋኝ	be	i
ኀተመ	ኀትሟል	ይኅትም	ይኀትማል	ይኀትም	ኅትም	ኀትሞ	መኀተም	ኅታሚ	seal	t
ሔደ	ሒዷል, ሔዷል	ይሔድ	ይሔዳል	ይሒድ	ሒድ,ሒጅ	ሒዶ,ሔዶ	መሔድ	ሐያጅ, ሐያጂ	go	i
ላላ	ላልቷል	ይላላ	የላላል	ይላላ		ላልቶ	መላላት		be loose	i
ለመለመ	ለምልሟል	ይለምልም	ይለመልማል	ይለምልም		ለምልሞ	መለምለም	ለምላሚ	be verdant	i
ለመነ	ለምኗል	ይለምን	ይለምናል	ይለምን	ለምን	ለምኖ	መለመን	ለማኝ	beg	t
ለመደ	ለምዷል	ይለምድ	ይለምዳል	ይልመድ	ልመድ	ለምዶ	መልመድ	ለማጅ	learn	t
ለመጠ	ለምጧል	ይለምጥ	ይለምጣል	ይለምጥ	ለምጥ 	ለምጦ	መለመጥ	ለማጭ	strop	t
ላሰ	ልሷል	ይልስ	ይልሳል	ይላስ	ላስ	ልሶ	መላስ	ላሽ	lick	t
ለሰለሰ	ለስልሷል	ይለሰልስ	ይለሰልሳል	ይለስልስ	ለስልስ	ለስልሶ	መለስለስ		be soft	i
ላቀ	ልቋል	ይልቅ	ይልቃል	ይላቅ		ልቆ	መላቅ		be more	i
ለቀመ	ለቅሟል	ይለቅም	ይለቅማል	ይልቀም	ልቀም	ለቅሞ	መልቀም	ለቃሚ	pick	t
ለቀቀ	ለቋል	ይለቅ	ይለቃል	ይልቀቅ	ልቀቅ	ለቆ	መልቀቅ	ለቃቂ	give up	t
ለቃቀመ	ለቃቅሟል	ይለቃቅም	ይለቃቅማል	ይለቃቅም	ለቃቅም	ለቃቅሞ	መለቃቀም	ለቃቃሚ	pick a little	t
ለበሰ	ለብሷል	ይለብስ	ይለብሳል	ይልበስ	ልብስ	ለብሶ	መልበስ	ለባሽ	dress oneself	i
ለበበ	ለብቧል	ይለብብ	ይለብባል	ይለብብ	ለብብ	ለብቦ	መለበብ	ለባቢ	put a halter on	t
ለካ	ለክቷል	ይለካ	ይለካል	ይለካ	ለካ	ለክቶ	መለካት	ለኪ	measure	t
ላከ	ልኳል	ይልክ	ይልካል	ይላክ	ላክ	ልኮ	መላክ	ላኪ	send	t
ለወጠ	ለውጧል	ይለውጥ	ይለውጣል	ይለውጥ	ለውጥ	ለውጦ	መለወጥ	ለዋጭ	alter	t
ለየ	ለይቷል	ይለይ	ይለያል	ይለይ	ለይ	ለይቶ	መለየት	ለዪ	distinguish	t
ለጐመ	ለጕሟል	ይለጕም 	ይለጕማል	የለጕም	ለጕም	ለጕም	መለጐም	ለጓሚ	put a bridle on	t
ላጨ 2nd ላጨህ	ላጭቷል	ያላጭ	ይላጫል	ያላጭ	ላጭ	ላጭቶ	መላጨት	ላጪ	shave	t
ለፋ	ለፍቷል	ይለፋ	የለፋል	ይልፋ	ልፋ	ለፍቶ	መልፋት	ለፊ	tire oneself	i
መላ	መልቷል	ይመላ	ይመላል	ይምላ	ምላ	መልቶ	መምላት	መይ	fill	i, t
ማለ	ምሏል	ይምል	ይምላል	ይማል	ማል	ምሎ	መማል	ማይ	swear	i   
ሞላ	ሞልቷል	ይሞላ	ይሞላል	ይሙላ	ሙላ	ሞልቶ	መሙላት	ሞይ	fill	i
መለሰ	መልሷል	ይመልስ	ይመልሳል	ይመልስ	መልስ	መልሶ	መመለስ	መላሽ	return	t
ማለደ	ማልዷል	ይማልድ	ይማልዳል	ይማልድ	ማልድ	ማልዶ	መማለድ	ማላጅ	rise early	i
መራ	መርቷል	ይመራ	ይመራል	ይምራ	ምራ	መርቶ	መምራት	መሪ	guide	t
ማረ	ምሯል	ይምር	ይምራል	ይማር	ማር	ምሮ	መማር	ማሪ	forgive	t
መረመረ	መርምሯል	ይመረምር	ይመረምራል	ይመርምር	መርምር	መርምሮ	መመርመር	መርማሪ	examine	t
መረቀ	መርቋል	ይመርቅ	ይመርቃል	ይመርቅ	መርቅ	መርቆ	መመረቅ	መራቂ	bless	t
ማረከ	ማርኳል	ይማርክ	ይማርካል	ይማርክ	ማርክ	ማርኮ	መማረክ	ማራኪ	capture	t
ሞረደ	ሞርዷል	ይሞርድ	ይሞርዳል	ይሞርድ	ሞርድ	ሞርዶ	መሞረድ	ሞራጅ	file	t
መረጠ	መርጧል	ይመርጥ	ይመርጣል	ይምረጥ	ምረጥ	መርጦ	መምረጥ	መራጭ	choose	t
መሰለ	መስሏል	ይመስል	ይመስላል	ይምሰል	ምስል	መስሎ	መምሰል	መሳይ	seem, resemble	i
መሰለ	መስሏል	ይመስል	ይመስላል	ይመስል	መስል	መስሎ	መመሰል	መሳይ	fashion	t
መሰከረ	መስክሯል	ይመስክር	ይመሰክራል	ይመስክር	መስክር	መስክሮ	መመስከር	መስካሪ	testify	t
መሸ	መሽቷል	ይመሽ	ይመሻል			መሽቶ	መምሸት		become evening	i
ሞሸረ	ሞሽሯል	ይሞሽር	ይሞሽራል	ይሞሽር	ሞሽር	ሞሽሮ	መሞሸር	ሞሻሪ	celebrate a marriage	i
ሞቀ	ሙቋል ፤ ሞቋል	ይሞቅ	ይሞቃል	ይሙቅ		ሙቆ ፤ ሞቆ	መሞቅ	ሟቂ	be warm	i
መታ	መትቷል	ይመታ	ይመታል	ይምታ	ምታ	ምትቶ	መምታት	መች	strike	t
ሞተ	ሙቷል	ይሞት	ይሞታል	ይሙት	ሙት	ሙቶ	መሞት	ሟች	die	i
መነነ	መንኗል	ይመንን	ይመንናል	ይመንን	መንን	መንኖ	መመነን	መናኝ	retire from the world	i
መነዘረ	መንዝሯል	ይመነዝር	ይመነዝራል	ይመንዝር	መንዝር	መንዝሮ	መመንዘር	መንዛሪ	change(money)	t
መከረ	መክሯል	ይመክር	ይመክራል	ይምከር	ምክር	መክሮ	መምከር	መካሪ	advise, reflect	i
ሞከረ	ሞክሯል	ይሞክር	ይሞክራል	ይሞክር	ሞክር	ሞክሮ	መሞከር	ሞካሪ	try	t
መዘነ	መዝኗል	ይመዝን	ይመዝናል	ይመዝን 	መዝን	መዝኖ	መመዘን	መዛኝ	weigh	t
መገበ	መግቧል	ይመግብ	ይመግብ 	ይመግባል	ይመግብ	መግብ	መመገብ	መጋቢ	feed	t
መጣ	መጥቷል	ይመጣ	ይመጣል	ይምጣ	ና፡ነይ፡ኑ neg. አትምጣ	መጥቶ	መምጣት	መጭ	come	i
መጠነ	መጥኗል	ይመጥን	ይመጥናል	ይመጥን	መጥን	መጥኖ	መመጠን	መጣኝ	measure out	t
ሟጨረ	ሟጭሯል	ይሟጭር	ይሟጭራል	ይሟጭር	ሟጭር	ሟጭሮ	መሟጨር	ሟጫሪ	scratch	t
መጻ	መጽቷል	ይመጻ	ይመጻል	ይምጻ	ና	መጽቶ	መምጻት	መጭ	come	i
እረሳ	እረስቷል	ይረሳ	ይረሳል	ይርሳ	እርሳ	እረስቶ	መርሳት	እረሽ	forget	t
እራስ	እርሷል	ይርስ 	ይርሳል	ይራስ		እርሶ 	መራስ	እራሽ	be wet	i
እራቀ	እርቋል	ይርቅ	ይርቃል	ይራቅ	እራቅ	እርቆ	መራቅ	እራቂ	be distant	i
እረባ	እረብቷል	ይረባ	ይረባል	ይርባ	እርባ	እረብቶ	መርባት	እረቢ	be useful	i
