# Simple Perfect	Compound Perfect	Contingent	Compound Imperfect	Jussive	Imperative	Gerund	Infinitive	Participle	Translation	Verb Type
ሆነ	ሁኗል, ሆኗል	ይሆን	ይሆናል	ይሁን	ሁን	ሁኖ,ሆኖ	መሆን	ኋኝ	be	i
ኀተ፟መ	ኀት፟ሟል	ይኅት፟ም	ይኀት፟ማል	ይኀት፟ም	ኅት፟ም	ኀት፟ሞ	መኀተ፟ም	ኅታ፟ሚ	seal	t
ሔደ	ሒዷል, ሔዷል	ይሔድ	ይሔዳል	ይሒድ	ሒድ,ሒጅ	ሒዶ,ሔዶ	መሔድ	ሐያጅ, ሐያጂ	go	i
ላ፟ላ	ላልቷል	ይላ፟ላ	የላላ፟ል	ይላላ		ላልቶ	መላላት		be loose	i
ለመለ፟መ	ለምልሟል	ይለምል፟ም	ይለመል፟ማል	ይለምልም		ለምልሞ	መለምለም	ለምላሚ	be verdant	i
ለመ፟ነ	ለም፟ኗል	ይለም፟ን	ይለም፟ናል	ይለም፟ን	ለም፟ን	ለም፟ኖ	መለመ፟ን	ለማ፟ኝ	beg	t
ለመ፟ደ	ለምዷል	ይለምድ	ይለምዳል	ይልመድ	ልመድ	ለምዶ	መልመድ	ለማጅ	learn	t
ለመ፟ጠ	ለም፟ጧል	ይለም፟ጥ	ይለም፟ጣል	ይለም፟ጥ	ለም፟ጥ 	ለም፟ጦ	መለመ፟ጥ	ለማ፟ጭ	strop	t
ላሰ	ልሷል	ይልስ	ይልሳል	ይላስ	ላስ	ልሶ	መላስ	ላሽ	lick	t
ለሰለ፟ሰ	ለስልሷል	ይለሰል፟ስ	ይለሰል፟ሳል	ይለስልስ	ለስልስ	ለስልሶ	መለስለስ		be soft	i
ላቀ	ልቋል	ይልቅ	ይልቃል	ይላቅ		ልቆ	መላቅ		be more	i
ለቀ፟መ	ለቅሟል	ይለቅም	ይለቅማል	ይልቀም	ልቀም	ለቅሞ	መልቀም	ለቃሚ	pick	t
ለቀ፟ቀ	ለቋ፟ል	ይለቅ፟	ይለቃ፟ል	ይልቀቅ	ልቀቅ	ለቆ፟	መልቀቅ	ለቃቂ	give up	t
ለቃቀ፟መ	ለቃቅሟል	ይለቃቅ፟ም	ይለቃቅ፟ማል	ይለቃቅም	ለቃቅም	ለቃቅሞ	መለቃቀም	ለቃቃሚ	pick a little	t
ለበ፟ሰ	ለብሷል	ይለብስ	ይለብሳል	ይልበስ	ልብስ	ለብሶ	መልበስ	ለባሽ	dress oneself	i
ለበ፟በ	ለብ፟ቧል	ይለብ፟ብ	ይለብ፟ባል	ይለብ፟ብ	ለብ፟ብ	ለብ፟ቦ	መለበ፟ብ	ለባ፟ቢ	put a halter on	t
ለካ፟	ለክ፟ቷል	ይለካ፟	ይለካል	ይለካ	ለካ	ለክቶ	መለካት	ለኪ	measure	t
ላከ	ልኳል	ይልክ	ይልካል	ይላክ	ላክ	ልኮ	መላክ	ላኪ	send	t
ለወጠ	ለውጧል	ይለውጥ	ይለውጣል	ይለውጥ	ለውጥ	ለውጦ	መለወጥ	ለዋጭ	alter	t
ለየ፟	ለይ፟ቷል	ይለይ፟	ይለያ፟ል	ይለይ፟	ለይ፟	ለይ፟ቶ	መለየ፟ት	ለዪ	distinguish	t
ለጐ፟መ	ለጕ፟ሟል	ይለጕ፟ም 	ይለጕ፟ማል	የለጕ፟ም	ለጕ፟ም	ለጕ፟ም	መለጐ፟ም	ለጓ፟ሚ	put a bridle on	t
ላጨ፟ 2nd ላጨህ	ላጭቷል	ያላጭ፟	ይላጫ፟ል	ያላጭ	ላጭ	ላጭቶ	መላጨ፟ት	ላጪ፟	shave	t
ለፋ፟	ለፍቷል	ይለፋ	የለፋል	ይልፋ	ልፋ	ለፍቶ	መልፋት	ለፊ	tire oneself	i
መላ፟	መልቷል	ይመላ	ይመላል	ይምላ	ምላ	መልቶ	መምላት	መይ	fill	i & t
ማለ	ምሏል	ይምል	ይምላል	ይማል	ማል	ምሎ	መማል	ማይ	swear	i   
ሞላ፟	ሞልቷል	ይሞላ	ይሞላል	ይሙላ	ሙላ	ሞልቶ	መሙላት	ሞይ	fill	i
መለ፟ሰ	መል፟ሷል	ይመል፟ስ	ይመል፟ሳል	ይመል፟ስ	መል፟ስ	መል፟ሶ	መመለ፟ስ	መላ፟ሽ	return	t
ማለ፟ደ	ማልዷል	ይማል፟ድ	ይማል፟ዳል	ይማልድ	ማልድ	ማልዶ	መማለድ	ማላጅ	rise early	i
መራ፟	መርቷል	ይመራ	ይመራል	ይምራ	ምራ	መርቶ	መምራት	መሪ	guide	t
ማረ	ምሯል	ይምር	ይምራል	ይማር	ማር	ምሮ	መማር	ማሪ	forgive	t
መረመረ	መርምሯል	ይመረምር	ይመረምራል	ይመርምር	መርምር	መርምሮ	መመርመር	መርማሪ	examine	t
መረ፟ቀ	መር፟ቋል	ይመር፟ቅ	ይመር፟ቃል	ይመር፟ቅ	መር፟ቅ	መር፟ቆ	መመረ፟ቅ	መራ፟ቂ	bless	t
ማረ፟ከ	ማርኳል	ይማር፟ክ	ይማር፟ካል	ይማርክ	ማርክ	ማርኮ	መማረክ	ማራኪ	capture	t
ሞረ፟ደ	ሞር፟ዷል	ይሞር፟ድ	ይሞር፟ዳል	ይሞር፟ድ	ሞር፟ድ	ሞር፟ዶ	መሞረ፟ድ	ሞራ፟ጅ	file	t
መረ፟ጠ	መርጧል	ይመርጥ	ይመርጣል	ይምረጥ	ምረጥ	መርጦ	መምረጥ	መራጭ	choose	t
መሰ፟ለ	መስሏል	ይመስል	ይመስላል	ይምሰል	ምስል	መስሎ	መምሰል	መሳይ	seem, resemble	i
መሰ፟ለ	መስ፟ሏል	ይመስ፟ል	ይመስ፟ላል	ይመስ፟ል	መስ፟ል	መስ፟ሎ	መመሰ፟ል	መሳ፟ይ	fashion	t
መሰከ፟ረ	መስክሯል	ይመስክ፟ር	ይመሰክ፟ራል	ይመስክር	መስክር	መስክሮ	መመስከር	መስካሪ	testify	t
መሸ፟	መሽቷል	ይመሽ	ይመሻል			መሽቶ	መምሸት		become evening	i
ሞሸ፟ረ	ሞሽ፟ሯል	ይሞሽ፟ር	ይሞሽ፟ራል	ይሞሽ፟ር	ሞሽ፟ር	ሞሽ፟ሮ	መሞሸ፟ር	ሞሻ፟ሪ	celebrate a marriage	i
ሞቀ	ሙቋል ፤ ሞቋል	ይሞቅ	ይሞቃል	ይሙቅ		ሙቆ ፤ ሞቆ	መሞቅ	ሟቂ	be warm	i
መታ፟	መትቷ፟ል	ይመታ	ይመታል	ይምታ	ምታ	ምትቶ፟	መምታት	መች	strike	t
ሞተ	ሙቷል	ይሞት	ይሞታል	ይሙት	ሙት	ሙቶ	መሞት	ሟች	die	i
መነ፟ነ	መን፟ኗል	ይመን፟ን	ይመን፟ናል	ይመን፟ን	መን፟ን	መን፟ኖ	መመነ፟ን	መና፟ኝ	retire from the world	i
መነዘ፟ረ	መንዝሯል	ይመነዝ፟ር	ይመነዝ፟ራል	ይመንዝር	መንዝር	መንዝሮ	መመንዘር	መንዛሪ	change (money)	t
መከ፟ረ	መክሯል	ይመክር	ይመክራል	ይምከር	ምክር	መክሮ	መምከር	መካሪ	advise, reflect	i
ሞከ፟ረ	ሞክ፟ሯል	ይሞክ፟ር	ይሞክ፟ራል	ይሞክ፟ር	ሞክ፟ር	ሞክ፟ሮ	መሞከ፟ር	ሞካ፟ሪ	try	t
መዘ፟ነ	መዝ፟ኗል	ይመዝ፟ን	ይመዝ፟ናል	ይመዝ፟ን 	መዝ፟ን	መዝ፟ኖ	መመዘ፟ን	መዛ፟ኝ	weigh	t
