# Simple Perfect	Compound Imperfect	Gerund	Contingent	Infinitive	Participle	Gloss	Other Verb Forms	Theoretical Root	Equivalence	Part of Speech	Verb Class
ሄደ	ይሄዳል	ሄዶ	ይሂድ	መሄድ	ሂያጅ	go	አ	ሄʸደ		i	8y
ሆመጠጠ	ይሆመጥጣል	ሆምጥጦ	ይሆምጥጥ	መሆምጠጥ	ሆምጣጣ	be acid, sour			ኮመጠጠ		9b
ሆነ	ይሆናል	ሆኖ	ይሁን	መሆን	ኋኝ	be, become				i	8w
ለመለመ	ይለመልማል	ለምልሞ	ይለምልም	መለምለም	ለምለሚ	flourish	አ			i	9
ለመነ	ይለምናል	ለምኖ	ይለምን	መለመን	ለማኝ	beg	ተ	ለመ፟ነ		t	2
ለመደ	ይለምዳል	ለምዶ	ይልመድ	መልመድ	ለማጅ	get used to	አ, ተ			t	1
ለመጠ	ይለምጣል	ለምጦ	ይለምጥ	መለመጥ	ለማጭ	become a leper	አስ			i	1
ለመጠ	ይለምጣል	ለምጦ	ይለምጥ	መለመጥ	ለማጭ	bend, polish	ተ	ለመ፟ጠ		t	2
ለማ	ይለማል	ለምቶ	ይልማ	መልማት	ለሚ	flourish	አ	ለማህ		i	3
ለሰለሰ	ይለሰልሳል	ለስልሶ	ይለስልስ	መለስለስ	ለስላሳ	be soft, smooth	አ			i	9
ለሰነ	ይለስናል	ለስኖ	ይለስን	መለሰን	ለሳኝ	plaster, coax	ተ	ለሰ፟ነ		t	2
ለቀለቀ	ይለቀልቃል	ለቅልቆ	ይለቅልቅ	መለቅለቅ	ለቅላቂ	rinse, stain	ተ			t	9
ለቀመ	ይለቅማል	ለቅሞ	ይልቀም	መልቀም	ለቃሚ	glean	አ, ተ			t	1
ለቀቀ	ይለቅቃል	ለቆ	ይልቀቅ	መልቀቅ	ለቃቂ	let go, abandon, relax	ተ			t	1f
ለበለበ	ይለበልባል	ለብልቦ	ይለብልብ	መለብለብ	ለብላቢ	singe, scorch	ተ			t	9
ለበሰ	ይለብሳል	ለብሶ	ይልበስ	መልበስ	ለባሽ	wear, dress	አ, ተ			t	1
ለበበ	ይለብባል	ለብቦ	ይለብብ	መለበብ	ለባቢ	put halter on	ተ	ለበ፟በ		t	2f
ለበደ	ይለብዳል	ለብዶ	ይለብድ	መለበድ	ለባጅ	sew a strip	ተ	ለበ፟ደ		t	2
ለተመ	ይለትማል	ለትሞ	ይለትም	መለተም	ለታሚ	butt, quarrel	ተ	ለተ፟መ		t	2
ለከከ	ይላክካል	ለክኮ	ይለክክ	መለከክ	ለካኪ	anoint, smear	ተ, #	ለህከከ		i	1hf
ለከፈ	ይለከፋል	ለክፎ	ይልከፍ	መልከፍ	ለካፊ	infect; sniff	ተ			t	1
ለካ	ይለካል	ለክቶ	ይለካ	መለካት	ለኪ	measure, adjust	ተ	ለካ፟ህ		t	4
ለኮሰ	ይለኩሳል	ለኩሶ	ይለኩስ	መለኮስ	ለኳሽ	ignite	ተ	ለኮ፟ሰ		t	2c
ለወሰ	ይለውሳል	ለውሶ	ይለውስ	መለወስ	ለዋሽ	knead	ተ	ለወ፟ሰ		t	2
ለወጠ	ይለውጣል	ለውጦ	ይለውጥ	መለወጥ	ለዋጭ	change, substitute	ተ	ለወ፟ጠ		t	2
ለዘበ	ይለዝባል	ለዝቦ	ይለዝብ	መለዘብ	ልዝብ	be damp	አ	ለዘ፟በ		i	2
ለዘዘ	ይለዝዛል	ለዞ	ይልዘዝ	መልዘዝ	ለዛዛ	deliquesce	አ			i	1f
ለየ	ይለያል	ለይቶ	ይለይ	መለየት	ለዪ	separate, divide	ተ	ለየ፟ህ		t	6
ለገመ	ይለግማል	ለግሞ	ይለግም	መለገም	ለጋሚ	be obstinate	አስ	ለገ፟መ		i	2
ለገሰ	ይለግሳል	ለግሶ	ይለግስ	መለገስ	ለጋሽ	be generous	ተ	ለገ፟ሰ		t, (imp.)	2
ለጋ	ይለጋል	ለግቶ	ይለጋ	መለጋት	ለጊ	hit against something	ተ	ለጋ፟ህ		t	4
ለጎመ	ይለጉማል	ለጉሞ	ይለጉም	መለጎም	ለጓሚ	bridle, cover drum	ተ	ለጎ፟መ		t	2c
ለጠጠ	ይለጥጣል	ለጥጦ	ይለጥጥ	መለጠጥ	ለጣጭ	stretch, distend	ተ	ለጠ፟ጠ		t	2f
ለጠፈ	ይለጥፋል	ለጥፎ	ይለጥፍ	መለጠፍ	ለጣፊ	paste, affix	ተ	ለጠ፟ፈ		t	2
ለፈለፈ	ይለፈልፋል	ለፍልፎ	ይለፍልፍ	መለፍለፍ	ለፍላፊ	chatter	አስ			i	9
ለፋ	ይለፋል	ለፍቶ	ይልፋ	መልፋት	ለፊ	strive, tan (skins)	አ, ተ	ለፋህ		t	3
ላላ	ይላላል	ላልቶ	ያላላ	ማላላት	ላይ	be loose, slack	አ	ላህላህ		i	3h
ላላ	ይላላል	ላልቶ	ይላላ	መላላት	ልል	not to have	ተ	ላʸላህ		denom. 	5
ላመ	ይልማል	ልሞ	ይላም	መላም	ላሚ	become finely ground	አ	ላህመ		i	7
ላሰ	ይልሳል	ልሶ	ይላስ	መላስ	ላሺ	lick	አ, ተ	ላህሰ		t	7
ላሸ	ይላሻል	ላሽቶ	ይላሽ	መላሸት	ላሺ	relax, lose force	አ	ላህሸ፟ህ		i	6h
ላሸቀ	ይላሽቃል	ላሽቆ	ይላሽቅ	መላሸቅ	ላሻቂ	be too moist (grain)	አ	ላህሸቀ		i	1h
ላቀ	ይልቃል	ልቆ	ይላቅ	መላቅ	ላቂ	excel, surpass	አ	ላህቀ		i	7
ላበ	ያልባል	አልቦ	ያልብ	ማላብ	ላባም	sweat	አ	*ላህበ		i	7
