Word	Part of Speech	Word Forms
ab		
abd	n.	k-abd
+	n.p.	abdt
abh	v.t.	tabh-
abl	n.	abl
+	f.	ablt
+	p.	aabl
+	p.	aabl
+	v	abl
abn	n.	abn
+	p.	aabn
abr	n.	tabr-m
abw	n.	abn
+	p.	abh
+	p.	aabw
+	n.coll.	abwt
aby	n.	taby
adb (1)	v.	adb
+	n.coll.	abdt
+	n.p.	madbt
adb (2)	n.f.	abd, adb-nn
+	v.	abdt
adm	n.coll.	adm, adwmt, adym, adymt
+	n.coll.	adm, adwmt, adym, adymt
+	?v.	adm, adwmt, adym, adymt
+	n.	tadm
adw	v.	adw
ad_	conj.	ad_
+	partic.	ad_
ad_n	v.	ad_n
+	v.	s1tad_n
+	n.	d_n
+	p.	aad_n
+	n.coll.	ad_n-n, ad_ynt
+	n.	mad_n
+	n.	ad_nt
afkl	n.pl	afklt
afq	v.	afq
+	v.?imp.	k-tafqn
afy	n.	afy-m
agl	n.	magl
agm	n.	agm
ahb		ahb-hmw
ahl	n.	ahl
+	p.	ahlht
+	+	+
+	n.	ahl
+	p.	ahl
ahn	conj.	ahn,ahn-m, ahn-mm, ahann, ahnn-m, b-ahn-mm
ahr	v.p.f.	
ah_		
ah_d_	v.	ah_d_
+	+	+
+	+	+
+	?v./n.	ah_d_
+	v.	tah_d_
+	+	+
+	n.	ah_d_
+	p.	ah_d_t, ah_yd_t
+	a.	ah_d_
+	n.	mah_d_
+	p.	mah_d_
+	+	+
+	n.p.	mah_d_t
ah_r	v.	ah_r
+	v.	hah_r
+	pp.	mah_r
+	n.	l-ah_r
+	a.	ah_r
+	n.	aah_r
+	?prep.	ah_ry
ah_w	n.	ah_,ah_y,
+	d.	ah_y
+	p.	ah_y,ah_wt
+	f.	ah_t
+	p.	ah_t
+	?m.p.	ah_t
+	+	+
+	+	ah_hw
+	n.	ah_wn-n, ah_wn, ah_wt
+	v.	ah_w
+	p.	ah_ww
+	v.imp.p.	ytah_wnn
